1,1,2 NA,FLA,Aaron Ekblad,D,CAN,6′ 3″,216,Barrie,OHL
1,2,3 NA,BUF,Sam Reinhart,C,CAN,6′ 0″,190,Kootenay,WHL
1,3,4 NA,EDM,Leon Draisaitl,C,DEU,6′ 1″,204,Prince Albert,WHL
1,4,1 NA,CGY,Sam Bennett,C,CAN,6′ 0″,178,Kingston,OHL
1,5,5 NA,NYI,Michael Dal Colle,LW,CAN,6′ 1″,182,Oshawa,OHL
1,6,6 NA,VAN,Jake Virtanen,RW,CAN,6′ 0″,208,Calgary,WHL
1,7,9 NA,CAR,Haydn Fleury,D,CAN,6′ 2″,203,Red Deer,WHL
1,8,2 EUR,TOR,William Nylander,C/RW,CAN,5′ 11″,169,Modo,SWEDEN
1,9,13 NA,WPG,Nikolaj Ehlers,LW,DNK,5′ 10″,176,Halifax,QMJHL
1,10,7 NA,ANA,Nick Ritchie,LW,CAN,6′ 2″,226,Peterborough,OHL
1,11,3 EUR,NSH,Kevin Fiala,LW,CHE,5′ 10″,180,HV 71 Jr.,SWEDEN-JR.
1,12,8 NA,ARI,Brendan Perlini,LW,GBR,6′ 2″,205,Niagara,OHL
1,13,4 EUR,WSH,Jakub Vrana,L/RW,CZE,5′ 11″,185,Linkoping,SWEDEN
1,14,11 NA,DAL,Julius Honka,D,FIN,5′ 10″,180,Swift Current,WHL
1,15,17 NA,DET,Dylan Larkin,C,USA,6′ 0″,190,USA U-18,USHL
1,16,16 NA,CBJ,Sonny Milano,LW,USA,5′ 11″,183,USA U-18,USHL
1,17,53 NA,PHI,Travis Sanheim,D,CAN,6′ 3″,181,Calgary,WHL
1,18,12 NA,MIN,Alex Tuch,RW,USA,6′ 4″,225,USA U-18,USHL
1,19,14 NA,TBL,Anthony DeAngelo,D,USA,5′ 10″,175,Sarnia,OHL
1,20,19 NA,CHI,Nick Schmaltz,C,USA,5′ 11″,172,Green Bay,USHL
1,21,21 NA,STL,Robby Fabbri,C,CAN,5′ 10″,170,Guelph,OHL
1,22,1 EUR,PIT,Kasperi Kapanen,RW,FIN,6′ 0″,181,Kalpa,FINLAND
1,23,35 NA,COL,Conner Bleackley,C,CAN,6′ 0″,192,Red Deer,WHL
1,24,10 NA,VAN,Jared McCann,C,CAN,6′ 0″,179,Sault Ste. Marie,OHL
1,25,5 EUR,BOS,David Pastrnak,RW,CZE,6′ 0″,167,Sodertalje,Allsvenskan (SWE)
1,26,15 NA,MTL,Nikita Scherbak,RW,RUS,6′ 1″,175,Saskatoon,WHL
1,27,24 NA,SJS,Nikolay Goldobin,RW,RUS,5′ 11″,178,Sarnia,OHL
1,28,22 NA,NYI,Joshua Ho-Sang,C/RW,CAN,5′ 11″,175,Windsor,OHL
1,29,6 EUR,LAK,Adrian Kempe,LW,SWE,6′ 1″,187,Modo,SWEDEN
1,30,23 NA,NJD,John Quenneville,C,CAN,6′ 0″,182,Brandon,WHL
2,31,28 NA,BUF,Brendan Lemieux,LW,USA,6′ 0″,206,Barrie,OHL
2,32,37 NA,FLA,Jayce Hawryluk,C,CAN,5′ 10″,190,Brandon,WHL
2,33,18 NA,STL,Ivan Barbashev,C/LW,RUS,6′ 0″,180,Moncton,QMJHL
2,34,2 NA-G,CGY,Mason McDonald,G,CAN,6′ 4″,178,Charlottetown,QMJHL
2,35,10 EUR,TBL,Dominik Masin,D,CZE,6′ 2″,189,Slavia Jr.,CZREP-JR.
2,36,1 NA-G,VAN,Thatcher Demko,G,USA,6′ 3″,192,Boston College,H-EAST
2,37,4 NA-G,CAR,Alex Nedeljkovic,G,USA,5′ 11″,190,Plymouth,OHL
2,38,7 EUR,ANA,Marcus Pettersson,D,SWE,6′ 4″,167,Skelleftea Jr.,SWEDEN-JR.
