Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
Round,Pick,,Team,Player,Position,Nationality,Height,Weight,Junior Team,Junior League
3,67,202 NA,PHI,Marc-Andre Bourdon,D,CAN,6′ 0,206,Rouyn-Noranda,QMJHL
3,68,49 NA,CHI,Shawn Lalonde,D,CAN,6′ 1,192,Belleville,OHL
3,69,51 NA,PHX,Michael Stone,D,CAN,6′ 3,200,Calgary,WHL
3,70,42 NA,STL,James Livingston,R,CAN,6′ 1,200,Sault Ste. Marie,OHL
3,71,114 NA,ANA,Josh Brittain,L,CAN,6′ 4,210,Kingston,OHL
3,72,29 NA,NYI,Jyri Niemi,D,FIN,6′ 3,203,Saskatoon,WHL
3,73,2 EUR,NYI,Kirill Petrov,R,RUS,6′ 3,198,Kazan,RUSSIA
3,74,NR,LAK,Andrew Campbell,D,CAN,6′ 4,207,Sault Ste. Marie,OHL
3,75,9 EUR,NYR,Evgeny Grachev,C,RUS,6′ 4,224,Yaroslavl 2,RUSSIA-3
3,76,95 NA,PHX,Mathieu Brodeur,D,CAN,6′ 5,190,Cape Breton,QMJHL
3,77,5 NA-G,BOS,Michael Hutchinson,G,CAN,6′ 3,185,Barrie,OHL
3,78,52 NA,CGY,Lance Bouma,C,CAN,6′ 1,210,Vancouver,WHL
3,79,NR,OTT,Zack Smith,C,CAN,6′ 2,210,Swift Current,WHL
3,80,81 NA,FLA,Adam Comrie,D,CAN,6′ 4,205,Saginaw,OHL
3,81,61 NA,BUF,Corey Fienhage,D,USA,6′ 2,190,Eastview High,HIGH-MN
3,82,47 NA,NJD,Adam Henrique,C,CAN,6′ 0,200,Windsor,OHL
3,83,20 NA-G,ANA,Marco Cousineau,G,CAN,6′ 0,195,Baie Comeau,QMJHL
3,84,6 NA-G,PHI,Jacob Deserres,G,CAN,6′ 2,195,Seattle,WHL
3,85,44 NA,ANA,Brandon McMillan,C,CAN,5′ 11,188,Kelowna,WHL
3,86,127 NA,MTL,Steve Quailer,R,USA,6′ 3,184,Sioux City,USHL
3,87,94 NA,STL,Ian Schultz,R,CAN,6′ 1,179,Calgary,WHL
3,88,69 NA,LAK,Geordie Wudrick,L,CAN,6′ 3,213,Swift Current,WHL
3,89,132 NA,DAL,Scott Winkler,C,NOR,6′ 2,195,Russell Stover,MIDGET
3,90,12 EUR,NYR,Tomas Kundratek,D,CZE,6′ 2,201,Trinec,CZREP
3,91,117 NA,DET,Max Nicastro,D,USA,6′ 2,189,Chicago,USHL
4,92,161 NA,SJS,Samuel Groulx,D,CAN,6′ 2,182,Quebec,QMJHL
4,93,4 NA-G,WSH,Braden Holtby,G,CAN,6′ 1,209,Saskatoon,WHL
4,94,122 NA,ATL,Vinny Saponari,R,USA,6′ 0,179,USA U-18,USDP
4,95,103 NA,STL,David Warsofsky,D,USA,5′ 8,160,USA U-18,USDP
4,96,NR,NYI,Matt Donovan,D,USA,6′ 0,195,Cedar Rapids,USHL
4,97,23 NA,BOS,Jamie Arniel,C,CAN,5′ 11,183,Sarnia,OHL
4,98,16 NA,TOR,Mikhail Stefanovich,C,BLR,6′ 2,202,Quebec,QMJHL
4,99,NR,PHX,Colin Long,C,USA,5′ 11,187,Kelowna,WHL
4,100,20 NA,FLA,AJ Jenks,L,USA,6′ 2,206,Plymouth,OHL
4,101,60 NA,BUF,Justin Jokinen,R,USA,6′ 2,165,Cloquet,HIGH-MN
4,102,17 EUR,NYI,David Ullstrom,F,SWE,6′ 2,194,HV 71 Jr.,SWE-JR.
4,103,13 EUR,EDM,Johan Motin,D,SWE,6′ 2,220,Bofors,SWEDEN-2
4,104,75 NA,BUF,Jordon Southorn,D,CAN,6′ 2,185,PEI,QMJHL
4,105,176 NA,CAR,Michal Jordan,D,CZE,6′ 1,186,Plymouth,OHL
4,106,2 EUR-G,SJS,Harri Sateri,G,FIN,6′ 1,210,Tappara,FINLAND
4,107,62 NA,CBJ,Steven Delisle,D,CAN,6′ 6,209,Gatineau,QMJHL
4,108,53 NA,CGY,Nicholas Larson,L,USA,6′ 1,182,Waterloo,USHL
4,109,19 EUR,OTT,Andre Petersson,F,SWE,5′ 9,169,HV 71 Jr.,SWE-JR.
4,110,33 NA,COL,Kelsey Tessier,C,CAN,5′ 9,168,Quebec,QMJHL
4,111,NR,NYR,Dale Weise,R,CAN,6′ 2,210,Swift Current,WHL
