Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
1,1,1,NYI,John Tavares,John Tavares,C,6′ 0,183,London Knights,OHL
1,1 (EUR),2,TB,Victor Hedman,Victor Hedman,D,6′ 7,229,MODO Hockey Ornskoldsvik,SHL
1,2,3,COL,Matt Duchene,Matt Duchene,C,5′ 11,190,Brampton Battalion,OHL
1,3,4,ATL,Evander Kane,Evander Kane,L,5′ 11,168,Vancouver Giants,WHL
1,4,5,LAK,Brayden Schenn,Brayden Schenn,C,6′ 1,195,Brandon Wheat Kings,WHL
1,4 (EUR),6,ARI,Oliver Ekman-Larsson,Oliver Ekman-Larsson,D,6′ 0,182,Leksands IF,Swe-1
1,15,7,TOR,Nazem Kadri,Nazem Kadri,C,6′ 0,182,London Knights,OHL
1,7,8,DAL,Scott Glennie,Scott Glennie,C,6′ 2,182,Brandon Wheat Kings,WHL
1,9,9,OTT,Jared Cowen,Jared Cowen,D,6′ 5,205,Spokane Chiefs,WHL
1,2 (EUR),10,EDM,Magnus Paajarvi-Svensson,Magnus Paajarvi,L,5′ 11,180,Timra IK,SHL
1,16,11,NSH,Ryan Ellis,Ryan Ellis,D,5′ 11,180,Windsor Spitfires,OHL
1,25,12,NYI,Calvin De Haan,Calvin de Haan,D,6′ 0,173,Oshawa Generals,OHL
1,10,13,BUF,Zack Kassian,Zack Kassian,R,6′ 3,205,Peterborough Petes,OHL
1,11,14,FLA,Dmitry Kulikov,Dmitry Kulikov,D,6′ 1,195,Drummondville Voltigeurs,QMJHL
1,19,15,ANA,Peter Holland,Peter Holland,C,6′ 1,178,Guelph Storm,OHL
1,24,16,MIN,Nick Leddy,Nick Leddy,D,5′ 11,179,Eden Prairie H.S.,HS-MN
1,6 (EUR),17,STL,David Rundblad,David Rundblad,D,6′ 2,183,Skelleftea AIK,SHL
1,13,18,MTL,Louis Leblanc,Louis Leblanc,C,6′ 1,176,Omaha Lancers,USHL
1,14,19,NYR,Chris Kreider,Chris Kreider,L,6′ 2,201,Andover H.S.,HS-MA
1,3 (EUR),20,NJD,Jacob Josefson,Jacob Josefson,C,6′ 0,183,Djurgardens IF Stockholm,SHL
1,6,21,CLB,John Moore,John Moore,D,6′ 2,180,Chicago Steel,USHL
1,5,22,VAN,Jordan Schroeder,Jordan Schroeder,C,5′ 10,175,U. of Minnesota,WCHA
1,5 (EUR),23,CGY,Tim Erixson,Tim Erixon,D,6′ 1,187,Skelleftea AIK,SHL
1,8 (EUR),24,WSH,Marcus Johansson,Marcus Johansson,C,5′ 11,185,Farjestads BK Karlstad,SHL
1,21,25,BOS,Jordan Caron,Jordan Caron,R,6′ 2,196,Rimouski Oceanic,QMJHL
1,20,26,ANA,Kyle Palmieri,Kyle Palmieri,R,5′ 11,185,US U18,NTDP
1,26,27,CAR,Philippe Paradis,Philippe Paradis,L,6′ 2,210,Shawinigan Cataractes,QMJHL
1,27,28,CHI,Dylan Olsen,Dylan Olsen,D,6′ 2,210,Camrose Kodiaks,AJHL
1,12,29,TB,Carter Ashton,Carter Ashton,R,6′ 3,193,Lethbridge Hurricanes,WHL
1,8,30,PIT,Simon Despres,Simon Despres,D,6′ 3,208,Saint John Sea Dogs,QMJHL
2,1 (EUR-G),31,NYI,Mikko Koskinen,Mikko Koskinen,G,6′ 5,187,Blues,SM-liiga
2,18,32,DET,Landon Ferraro,Landon Ferraro,C,6′ 0,,Red Deer Rebels,WHL
2,39,33,COL,Ryan O’Reilly,Ryan O'Reilly,C,6′ 1,191,Erie Otters,OHL
2,7 (EUR),34,ATL,Carl Klingberg,Carl Klingberg,L,6′ 3,196,Frolunda Jrs.,SWE JRS
2,182,35,LAK,Kyle Clifford,Kyle Clifford,L,6′ 1,200,Barrie Colts,OHL
2,30,36,ARI,Chris Brown,Chris Brown,C,6′ 2,191,US U18,NTDP
2,31,37,ANA,Matthew Clark,Mat Clark,D,6′ 3,205,Brampton Battalion,OHL
2,34,38,DAL,Alex Chiasson,Alex Chiasson,R,6′ 3,187,Des Moines Buccaneers,USHL
2,12 (EUR),39,OTT,Jakob Silfverberg,Jakob Silfverberg,R,6′ 0,183,Brynas Jrs.,SWE JRS
2,19 (EUR),40,EDM,Anton Lander,Anton Lander,C,6′ 0,185,Timra IK,SHL
2,22,41,NSH,Zach Budish,Zach Budish,R,6′ 2,210,Edina H.S.,HS-MN
2,36,42,NSH,Charles-Olivier Roussel,Charles-Olivier Roussel,D,6′ 1,198,Shawinigan Cataractes,QMJHL
2,54,43,SJS,William Wrenn,William Wrenn,D,6′ 1,185,US U18,NTDP
2,28,44,FLA,Drew Shore,Drew Shore,C,6′ 3,194,US U18,NTDP
2,33,45,ATL,Jeremy Morin,Jeremy Morin,L,6′ 1,170,US U18,NTDP
2,2 (EUR-G),46,OTT,Robin Lehner,Robin Lehner,G,6′ 3,220,Frolunda Jrs.,SWE JRS
2,32,47,NYR,Ethan Werek,Ethan Werek,C,6′ 0,170,Kingston Frontenacs,OHL
2,151,48,STL,Brett Ponich,Brett Ponich,D,6′ 6,204,Portland Winter Hawks,WHL
2,17,49,COL,Stefan Elliott,Stefan Elliott,D,6′ 1,186,Saskatoon Blades,WHL
2,56,50,TOR,Kenny Ryan,Kenny Ryan,R,6′ 0,190,US U18,NTDP
2,61,51,CAR,Brian Dumoulin,Brian Dumoulin,D,6′ 3,197,New Hampshire Jr. Monarchs,EJHL
2,13 (EUR),52,TB,Richard Panik,Richard Panik,R,6′ 3,189,Trinec Ocelari HC,Czech
2,15 (EUR),53,VAN,Anton Rodin,Anton Rodin,R,5′ 11,174,Brynas Jrs.,SWE JRS
2,38,54,NJD,Eric Gelinas,Eric Gelinas,D,6′ 2,190,Lewiston MAINEiacs,QMJHL
2,9 (EUR),55,WSH,Dmitri Orlov,Dmitry Orlov,D,5′ 10,187,Novokuznetsk Metallurg,KHL
