Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
1,1,2 NA,CHI,Patrick Kane,R,USA,5′ 10,178,London,OHL
1,2,3 NA,PHI,James van Riemsdyk,L,USA,6′ 3,200,US U18,NTDP
1,3,1 NA,PHX,Kyle Turris,C,CAN,6′ 1,185,Burnaby,BCHL
1,4,26 NA,LAK,Thomas Hickey,D,CAN,5′ 11,184,Seattle,WHL
1,5,5 NA,WSH,Karl Alzner,D,CAN,6′ 3,206,Calgary,WHL
1,6,6 NA,EDM,Sam Gagner,F,CAN,5′ 11,191,London,OHL
1,7,7 NA,CBJ,Jakub Voracek,R,CZE,6′ 2,214,Halifax,QMJHL
1,8,9 NA,BOS,Zach Hamill,C,CAN,5′ 11,180,Everett,WHL
1,9,19 NA,SJS,Logan Couture,C,CAN,6′ 1,195,Ottawa,OHL
1,10,4 NA,FLA,Keaton Ellerby,D,CAN,6′ 4,186,Kamloops,WHL
1,11,28 NA,CAR,Brandon Sutter,F,USA,6′ 3,183,Red Deer,WHL
1,12,11 NA,MTL,Ryan McDonagh,D,USA,6′ 1,213,Cretin-Derham,HIGH-MN
1,13,3 EUR,STL,Lars Eller,F,DNK,6′ 2,198,Frolunda Jr.,SWE-JR.
1,14,34 NA,COL,Kevin Shattenkirk,D,USA,5′ 11,193,US U18,NTDP
1,15,72 NA,EDM,Alex Plante,D,CAN,6′ 4,230,Calgary,WHL
1,16,30 NA,MIN,Colton Gillies,C,CAN,6′ 4,189,Saskatoon,WHL
1,17,1 EUR,NYR,Alexei Cherepanov,R,RUS,6′ 1,187,Omsk,RUSSIA
1,18,81 NA,STL,Ian Cole,D,USA,6′ 1,221,US U18,NTDP
1,19,42 NA,ANA,Logan MacMillan,C,CAN,6′ 1,172,Halifax,QMJHL
1,20,8 NA,PIT,Angelo Esposito,C,CAN,6′ 2,190,Quebec,QMJHL
1,21,64 NA,EDM,Riley Nash,C,CAN,6′ 1,191,Salmon Arm,BCHL
1,22,16 NA,MTL,Max Pacioretty,L,USA,6′ 2,196,Sioux City,USHL
1,23,17 NA,NSH,Jonathon Blum,D,USA,6′ 1,178,Vancouver,WHL
1,24,2 EUR,CGY,Mikael Backlund,C,SWE,6′ 0,196,Vasteras,SWEDEN-2
1,25,23 NA,VAN,Patrick White,C,USA,6′ 1,190,Tri-City,USHL
1,26,10 NA,STL,David Perron,L,CAN,6′ 0,200,Lewiston,QMJHL
1,27,68 NA,DET,Brendan Smith,D,CAN,6′ 1,170,St. Michael’s,OPJRA
1,28,21 NA,SJS,Nick Petrecki,D,USA,6′ 3,230,Omaha,USHL
1,29,38 NA,OTT,Jim O’Brien,C,USA,6′ 2,200,U. of Minnesota,WCHA
1,30,18 NA,PHX,Nick Ross,D,CAN,6′ 1,196,Regina,WHL
2,31,29 NA,BUF,TJ Brennan,D,USA,6′ 0,208,St. John’s,QMJHL
2,32,14 NA,PHX,Brett MacLean,L,CAN,6′ 1,200,Oshawa,OHL
2,33,39 NA,VAN,Taylor Ellington,D,CAN,6′ 0,200,Everett,WHL
2,34,141 NA,WSH,Josh Godfrey,D,CAN,6′ 1,202,Sault Ste. Marie,OHL
2,35,12 NA,BOS,Tommy Cross,D,USA,6′ 3,195,Westminster,HIGH-CT
2,36,1 EUR-G,PHX,Joel Gistedt,G,SWE,5′ 11,174,Frolunda,SWEDEN
2,37,13 NA,CBJ,Stefan Legein,R,CAN,5′ 9,170,Mississauga,OHL
2,38,27 NA,CHI,Bill Sweatt,L,USA,6′ 0,190,Colorado College,WCHA
2,39,6 EUR,STL,Simon Hjalmarsson,R,SWE,5′ 11,161,Frolunda Jr.,SWE-JR.
2,40,58 NA,FLA,Michal Repik,R,CZE,5′ 10,180,Vancouver,WHL
2,41,47 NA,PHI,Kevin Marshall,D,CAN,6′ 1,191,Lewiston,QMJHL
2,42,93 NA,ANA,Eric Tangradi,C,USA,6′ 4,221,Belleville,OHL
2,43,102 NA,MTL,P.K. Subban,D,CAN,6′ 0,206,Belleville,OHL
2,44,101 NA,STL,Aaron Palushaj,R,USA,5′ 11,187,Des Moines,USHL
2,45,25 NA,COL,Colby Cohen,D,USA,6′ 2,200,Lincoln,USHL
2,46,32 NA,WSH,Theo Ruth,D,USA,6′ 1,199,US U18,NTDP
2,47,15 NA,TBL,Dana Tyrell,F,CAN,5′ 11,185,Prince George,WHL
2,48,3 NA-G,NYR,Antoine Lafleur,G,CAN,6′ 4,198,PEI,QMJHL
2,49,2 NA-G,COL,Trevor Cann,G,CAN,5′ 11,199,Peterborough,OHL
2,50,56 NA,DAL,Nico Sacchetti,C,USA,5′ 11,189,Virginia,HIGH-MN
2,51,33 NA,PIT,Keven Veilleux,C,CAN,6′ 5,218,Victoriaville,QMJHL
2,52,20 NA,LAK,Oscar Moller,C,SWE,5′ 10,189,Chilliwack,WHL
2,53,NR,CBJ,Will Weber,D,USA,6′ 4,205,Gaylord H.S.,HIGH-MI
2,54,1 NA-G,NSH,Jeremy Smith,G,USA,6′ 0,171,Plymouth,OHL
2,55,31 NA,COL,TJ Galiardi,F,CAN,6′ 2,190,Dartmouth,ECAC
2,56,41 NA,CHI,Akim Aliu,F,NGA,6′ 4,225,Sudbury,OHL
2,57,22 NA,NJD,Mike Hoeffel,F,USA,6′ 2,186,US U18,NTDP
2,58,24 NA,NSH,Nick Spaling,C,CAN,6′ 1,196,Kitchener,OHL
2,59,124 NA,BUF,Drew Schiestel,D,CAN,6′ 1,193,Mississauga,OHL
2,60,35 NA,OTT,Ruslan Bashkirov,L,RUS,5′ 11,186,Quebec,QMJHL
2,61,NR,LAK,Wayne Simmonds,R,CAN,6′ 2,183,Owen Sound,OHL
3,62,59 NA,NYI,Mark Katic,D,CAN,5′ 10,195,Sarnia,OHL
3,63,NR,ANA,Maxime Macenauer,C,CAN,5′ 11,188,Rouyn-Noranda,QMJHL
3,64,8 EUR,DAL,Sergei Korostin,R,RUS,5′ 11,180,Dynamo Moscow,RUSSIA
3,65,44 NA,MTL,Olivier Fortier,C,CAN,5′ 11,181,Rimouski,QMJHL
3,66,NR,PHI,Garrett Klotz,L,CAN,6′ 6,235,Saskatoon,WHL
