Column1,Column2,Column3,Column4,Column5,Column52,Column6,Column7,Column8,Column9,Column10,Column11
2,36 NA,56,STL,Samuel Kurker,Damon Severson,RW,USA,6′ 2,201,St. John’s Prep,HIGH-MA
2,NR,57,VAN,Alexandre Mallet,Devin Shore,LW,CAN,6′ 1,195,Rimouski,QMJHL
2,128 NA,58,PHX,Jordan Martinook,Jujhar Khaira,LW,CAN,5′ 11,202,Vancouver,WHL
2,27 NA,59,NYR,Cristoval Nieves,Tim Bozon,C,USA,6′ 2,192,Kent School,HIGH-CT
2,48 NA,60,NJD,Damon Severson,Adam Pelech,D,CAN,6′ 1,190,Kelowna,WHL
2,58 NA,61,DAL,Devin Shore,Jimmy Vesey,C,CAN,6′ 0,185,Whitby,OJHL
3,3 EUR-G,62,CBJ,Joonas Korpisalo,Mackenzie MacEachern,G,FIN,6′ 2,172,Jokerit Jr.,FINLAND-JR.
3,74 NA,63,EDM,Jujhar Khaira,John Draeger,LW,CAN,6′ 2,198,Prince George,BCHL
3,42 NA,64,MTL,Tim Bozon,Scott Kosmachuk,LW,USA,6′ 0,183,Kamloops,WHL
3,120 NA,65,NYI,Adam Pelech,Tanner Richard,D,CAN,6′ 2,194,Erie,OHL
3,77 NA,66,NSH,Jimmy Vesey,Troy Bourke,LW,USA,6′ 1,194,South Shore,EJHL
3,138 NA,67,STL,MacKenzie MacEachern,Justin Kea,LW,USA,6′ 2,180,Brother Rice H.S.,HIGH-MI
3,106 NA,68,MIN,John Draeger,Esa Lindell,D,USA,6′ 1,186,Shattuck-St. Mary’s,HIGH-MN
3,12 NA-G,69,CAR,Daniel Altshuller,Chandler Stephenson,G,CAN,6′ 2,191,Oshawa,OHL
3,24 NA,70,WPG,Scott Kosmachuk,Shayne Gostisbehere,RW,CAN,5′ 11,185,Guelph,OHL
3,41 NA,71,TBL,Tanner Richard,Chris Calnan,C,CAN,5′ 11,176,Guelph,OHL
3,123 NA,72,COL,Troy Bourke,Oskar Sundqvist,LW,CAN,5′ 10,156,Prince George,WHL
3,93 NA,73,BUF,Justin Kea,Jarrod Maidens,C,CAN,6′ 3,212,Saginaw,OHL
3,12 EUR,74,DAL,Esa Lindell,Steven Hodges,D,FIN,6′ 3,187,Jokerit Jr.,FINLAND-JR.
3,6 NA-G,75,CGY,Jon Gillies,Matthew Grzelcyk,G,USA,6′ 4,216,Indiana,USHL
3,13 NA-G,76,OTT,Chris Driedger,Colton Parayko,G,CAN,6′ 2,187,Calgary,WHL
3,33 NA,77,WSH,Chandler Stephenson,James Melindy,C/LW,CAN,5′ 11,190,Regina,WHL
3,148 NA,78,PHI,Shayne Gostisbehere,Brendan Leipsic,D,USA,5′ 11,160,Union College,ECAC
3,69 NA,79,CHI,Chris Calnan,Ben Johnson,RW,USA,6′ 2,187,Nobles,HIGH-MA
3,3 NA-G,80,DET,Jake Paterson,Daniil Zharkov,G,CAN,6′ 0,176,Saginaw,OHL
3,NR,81,PIT,Oskar Sundqvist,Matia Marcantuoni,C,SWE,6′ 3,172,Skelleftea Jr.,SWE-JR.
3,35 NA,82,OTT,Jarrod Maidens,Erik Gustafsson,C/LW,CAN,6′ 0,178,Owen Sound,OHL
3,18 NA-G,83,PIT,Matthew Murray,Brady Vail,G,CAN,6′ 4,169,Sault Ste. Marie,OHL
3,85 NA,84,FLA,Steven Hodges,Josh Anderson,C,CAN,5′ 11,178,Victoria,WHL
3,177 NA,85,BOS,Matt Grzelcyk,Ben Thomson,D,USA,5′ 9,171,USA U-18,USHL
