2,13 EUR,60,BOS,Linus Arnesson,D,SWE,6′ 2″,187,Djurgarden,SWEDEN-2
2,60 NA,61,WSH,Zachary Sanford,LW,USA,6′ 3″,185,Islanders,EJHL
3,50 NA,62,PHX,Yan Pavel Laplante,C,CAN,6′ 0″,178,PEI,QMJHL
3,5 NA-G,63,COL,Spencer Martin,G,CAN,6′ 2″,198,Mississauga,OHL
3,37 NA,64,NSH,Jonathan-Ismael Diaby,D,CAN,6′ 5″,223,Victoriaville,QMJHL
3,42 NA,65,NYR,Adam Tambellini,C,CAN,6′ 2″,169,Surrey,BCHL
3,40 NA,66,CAR,Brett Pesce,D,USA,6′ 2″,170,New Hampshire,H-EAST
3,112 NA,67,CGY,Keegan Kanzig,D,CAN,6′ 7″,241,Victoria,WHL
3,26 EUR,68,DAL,Niklas Hansson,D,SWE,6′ 0″,175,Rogle Jr.,SWEDEN-JR.
3,61 NA,69,BUF,Nicholas Baptiste,RW,CAN,6′ 0″,189,Sudbury,OHL
3,6 NA-G,70,NYI,Eamon McAdam,G,USA,6′ 2″,188,Waterloo,USHL
3,NR,71,MTL,Connor Crisp,LW,CAN,6′ 3″,225,Erie,OHL
3,151 NA,72,PHI,Tyrell Goulbourne,LW,CAN,5′ 10″,195,Kelowna,WHL
3,63 NA,73,NJD,Ryan Kujawinski,C,CAN,6′ 1″,204,Kingston,OHL
3,29 NA,74,CHI,John Hayden,C,USA,6′ 2″,210,USA U-18,USHL
3,10 EUR,75,NYR,Pavel Buchnevich,LW,RUS,6′ 1″,176,Cherepovets 2,RUSSIA-JR.
3,193 NA,76,NYI,Taylor Cammarata,C/LW,USA,5′ 7″,156,Waterloo,USHL
3,80 NA,77,PIT,Jake Guentzel,C,USA,5′ 9″,157,Sioux City,USHL
3,4 EUR-G,78,OTT,Marcus Hogberg,G,SWE,6′ 4″,205,Linkoping Jr.,SWEDEN-JR.
3,NR,79,DET,Mattias Janmark,C,SWE,6′ 1″,189,AIK,SWEDEN
3,57 NA,80,NYR,Anthony Duclair,LW,CAN,5′ 11″,177,Quebec,QMJHL
3,NR,81,MIN,Kurtis Gabriel,RW,CAN,6′ 4″,212,Owen Sound,OHL
3,102 NA,82,TOR,Carter Verhaeghe,C,CAN,6′ 1″,181,Niagara,OHL
3,11 EUR,83,EDM,Bogdan Yakimov,C,RUS,6′ 5″,202,Nizhnekamsk 2,RUSSIA-JR.
3,21 NA,84,WPG,Jimmy Lodge,C,USA,6′ 0″,166,Saginaw,OHL
3,120 NA,85,VAN,Cole Cassels,C,USA,6′ 0″,178,Oshawa,OHL
3,NR,86,MTL,Sven Andrighetto,RW,CHE,5′ 9″,175,Rouyn-Noranda,QMJHL
3,53 NA,87,ANA,Keaton Thompson,D,USA,6′ 0″,187,USA U-18,USHL
3,20 EUR,88,EDM,Anton Slepyshev,LW,RUS,6′ 2″,194,Ufa,RUSSIA
3,36 NA,89,CBJ,Oliver Bjorkstrand,RW,DNK,5′ 10″,166,Portland,WHL
3,28 EUR,90,BOS,Peter Cehlarik,LW,SVK,6′ 2″,192,Lulea Jr.,SWEDEN-JR.
3,83 NA,91,WPG,JC Lipon,RW,CAN,5′ 11″,180,Kamloops,WHL
4,12 NA-G,92,FLA,Evan Cowley,G,CAN,6′ 3″,182,Wichita Falls,NAHL
4,59 NA,93,COL,Mason Geertsen,D,CAN,6′ 3″,199,Vancouver,WHL
4,65 NA,94,EDM,Jackson Houck,RW,CAN,6′ 0″,186,Vancouver,WHL
4,NR,95,NSH,Felix Girard,C,CAN,5′ 11″,190,Baie Comeau,QMJHL
4,110 NA,96,EDM,Kyle Platzer,C,CAN,5′ 11″,185,London,OHL
4,49 NA,97,FLA,Michael Downing,D,USA,6′ 2″,192,Dubuque,USHL
4,117 NA,98,FLA,Matt Buckles,C,CAN,6′ 1″,205,St. Michael’s,OJHL
4,1 EUR-G,99,NSH,Juuse Saros,G,FIN,5′ 10″,178,HPK Jr.,FINLAND-JR.
4,138 NA,100,NJD,Miles Wood,LW,USA,6′ 0″,160,Nobles,HIGH-MA
4,124 NA,101,DAL,Nick Paul,LW,CAN,6′ 2″,202,Brampton,OHL
4,99 EUR,102,OTT,Tobias Lindberg,RW,SWE,6′ 3″,200,Djurgarden Jr.,SWEDEN-JR.
4,NR,103,LAK,Justin Auger,RW,CAN,6′ 7″,229,Guelph,OHL
4,142 NA,104,WPG,Andrew Copp,C,USA,6′ 0″,188,U. of Michigan,CCHA
