,Round 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-,NHLe
133,Edmonton Oilers,Philippe Cornet,CA,LW,18,2012,Rimouski Oceanic ,QMJHL,2,0,1,1,0,0,6′ 0,196,QMJHL,46,7,14,21,0.46,8,4,61,23,26,49,0.8,24,14,4.1984
134,Buffalo Sabres,Jacob Lagace,CA,LW,18,,Chicoutimi Sagueneens ,QMJHL,,,,,,,5′ 11,190,QMAAA,43,24,29,53,1.23,46,0,67,23,39,62,0.93,40,22,4.88064
135,Columbus Blue Jackets,Tomas Kubalik,CZ,RW,18,2012,HC Plzen ,Czech,12,1,3,4,-6,6,6′ 2,189,Czech U20,34,23,15,38,1.12,76,9,20,2,1,3,0.15,8,0,0.7872
136,Nashville Predators,Taylor Stefishen,CA,LW,18,,Langley ,BCHL,,,,,,,5′ 11,191,BCHL,59,25,31,56,0.95,73,0,57,33,48,81,1.42,71,0,7.45216
137,Columbus Blue Jackets,Brent Regner,CA,D,19,2016,Vancouver Giants ,WHL,7,0,0,0,-2,4,5′ 11,175,WHL,64,1,5,6,0.09,19,24,72,8,39,47,0.65,45,11,3.4112
138,Montreal Canadiens,Maxim Trunev,RU,RW,18,,Severstal Cherepovets 2 ,Russia-3,,,,,,,5′ 11,174,Russia-3,54,27,19,46,0.85,92,0,39,27,25,52,1.33,58,0,6.97984
139,Ottawa Senators,Mark Borowiecki,CA,D,19,2023,Smiths Falls ,CJHL,458,15,41,56,-22,848,6′ 1,185,CCHL,53,3,25,28,0.53,105,0,46,2,24,26,0.57,130,0,2.99136
140,Colorado Avalanche,Mark Olver,CA,C,20,2013,Northern Michigan ,CCHA,74,10,12,22,-7,39,5′ 10,170,USHL,57,29,35,64,1.12,84,27,39,21,17,38,0.97,59,7,5.09056
141,New York Rangers,Chris Doyle,CA,C,18,,Prince Edward Island Rocket ,QMJHL,,,,,,,6′ 0,191,QMJHL,50,18,18,36,0.72,50,2,63,27,36,63,1,81,18,5.248
142,New Jersey Devils,Kory Nagy,CA,LW,18,,Oshawa Generals ,OHL,,,,,,,5′ 11,195,OHL,64,0,5,5,0.08,18,9,57,5,12,17,0.3,47,2,1.5744
143,Anaheim Ducks,Stefan Warg,SE,D,18,,VIK Hockey Ungdom Jr. ,Sweden Jr.,,,,,,,6′ 2,187,J18 Allsvensken,14,0,6,6,0.43,14,0,33,2,6,8,0.24,62,0,1.25952
144,Washington Capitals,Joel Broda,CA,C,18,,Moose Jaw Warriors ,WHL,,,,,,,6′ 0,196,WHL,71,16,28,44,0.62,62,7,73,30,23,53,0.73,74,1,3.83104
145,Minnesota Wild,Eero Elo,FI,LW,18,,Lukko Jr. ,Finland Jr.,,,,,,,6′ 3,189,Finland Jr.,22,1,2,3,0.14,8,5,42,12,15,27,0.64,34,3,3.35872
146,San Jose Sharks,Julien Demers,CA,D,18,,Ottawa 67's ,OHL,,,,,,,6′ 0,215,QMJHL,69,5,19,24,0.35,98,25,65,5,28,33,0.51,94,5,2.67648
147,Tampa Bay Lightning,Kyle DeCoste,CA,RW,18,,Brampton Battalion ,OHL,,,,,,,6′ 2,195,OHL,45,1,3,4,0.09,29,9,66,10,12,22,0.33,48,9,1.73184
148,New York Islanders,Matt Martin,CA,LW,19,2023,Sarnia Sting ,OHL,839,72,82,154,-46,1059,6′ 3,210,OHL,39,3,3,6,0.15,52,4,66,25,13,38,0.58,155,3,3.04384
149,Dallas Stars,Philip Larsen,DK,D,18,2017,Frolunda HC ,Sweden,151,9,28,37,-9,46,6′ 1,183,Sweden Jr.,37,3,15,18,0.49,50,13,16,0,0,0,0,2,1,0
151,Detroit Red Wings,Julien Cayer,CA,C,19,,Northwood School ,High-NY,,,,,,,6′ 4,186,QJAAAHL,45,6,23,29,0.64,84,0,42,24,32,56,1.33,56,0,6.97984
152,Tampa Bay Lightning,Mark Barberio,CA,D,18,2020,Moncton Wildcats ,QMJHL,272,14,42,56,2,115,6′ 1,197,QMJHL,60,3,14,17,0.28,63,8,70,11,35,46,0.66,75,3,3.46368
153,Los Angeles Kings,Justin Azevedo,CA,C,20,,Kitchener Rangers ,OHL,,,,,,,5′ 7,175,OHL,50,17,39,56,1.12,42,10,67,43,81,124,1.85,69,24,9.7088
155,St. Louis Blues,Anthony Nigro,CA,C,18,,Guelph Storm ,OHL,,,,,,,5′ 11,180,OHL,56,4,13,17,0.3,26,3,67,24,24,48,0.72,65,1,3.77856
156,New York Islanders,Jared Spurgeon,CA,D,18,2023,Spokane Chiefs ,WHL,793,100,251,351,88,136,5′ 9,185,WHL,38,4,15,19,0.5,16,2,69,12,31,43,0.62,19,36,3.25376
157,Columbus Blue Jackets,Cam Atkinson,US,RW,19,2022,Avon Old Farms School ,High-CT,700,236,216,452,15,156,5′ 9,165,USHS-Prep,27,28,24,52,1.93,12,0,28,26,37,63,2.25,10,0,11.808
159,Phoenix Coyotes,Brett Hextall,US,C,20,,Pentiction ,BCHL,,,,,,,5′ 10,176,BCHL,59,18,27,45,0.76,156,0,54,24,48,72,1.33,52,0,6.97984
160,Tampa Bay Lightning,Luke Witkowski,US,D,18,2022,Ohio Junior Blue Jackets ,USHL,132,2,11,13,-11,162,6′ 2,200,18U AAA,59,18,22,40,0.68,172,0,58,3,10,13,0.22,139,10,1.15456
161,Vancouver Canucks,Mats Froshaug,NO,C,20,,Linkoping HC Jr. ,Sweden Jr.,,,,,,,6′ 1,198,Sweden Jr.,37,10,11,21,0.57,20,0,35,18,18,36,1.03,41,0,5.40544
162,Chicago Blackhawks,Jonathan Carlsson,SE,D,20,,Brynas IF ,Sweden,,,,,,,6′ 2,187,Sweden Jr.,39,12,5,17,0.44,16,11,26,0,0,0,0,27,8,0
163,Edmonton Oilers,Teemu Hartikainen,FI,C,18,2013,KalPa Jr. ,Finland Jr.,52,6,7,13,-10,16,6′ 1,215,Finland Jr.,11,2,1,3,0.27,0,2,37,10,7,17,0.46,24,2,2.41408
164,Buffalo Sabres,Nick Crawford,CA,D,18,,Saginaw Spirit ,OHL,,,,,,,6′ 1,199,OHL,63,1,7,8,0.13,32,11,68,4,16,20,0.29,58,1,1.52192
166,Nashville Predators,Jeff Foss,US,D,19,,RPI ,ECAC,,,,,,,6′ 2,205,USHS-MN,26,15,31,46,1.77,28,0,38,1,3,4,0.11,28,5,0.57728
167,Colorado Avalanche,Joel Chouinard,CA,D,18,,Victoriaville Tigres ,QMJHL,,,,,,,6′ 1,186,QMAAA,33,8,30,38,1.15,88,0,69,7,28,35,0.51,95,13,2.67648
168,Calgary Flames,Ryley Grantham,CA,C,20,,Moose Jaw Warriors ,WHL,,,,,,,6′ 3,207,WHL,33,1,1,2,0.06,50,2,66,10,9,19,0.29,163,6,1.52192
169,Chicago Blackhawks,Ben Smith,US,RW,20,2017,Boston College ,H-East,237,29,25,54,-3,8,5′ 11,205,NCAA,42,10,8,18,0.43,10,1,37,12,23,35,0.95,22,10,4.9856
170,Colorado Avalanche,Jonas Holos,NO,D,21,2011,Sparta Sarpsborg ,Norway,39,0,6,6,-3,10,5′ 11,196,Norway,40,11,19,30,0.75,32,0,40,2,20,22,0.55,67,0,2.8864
171,New York Rangers,Mitch Gaulton,CA,D,18,,Erie Otters ,OHL,,,,,,,6′ 0,207,OHL,54,5,11,16,0.3,53,35,20,2,5,7,0.35,19,10,1.8368
172,New Jersey Devils,David Wohlberg,US,C,18,,USA U-18 Development Team ,USDP/NAHL,,,,,,,6′ 1,192,USDP/NAHL,45,10,10,20,0.44,99,0,37,9,7,16,0.43,48,0,2.25664
173,Boston Bruins,Nick Tremblay,CA,C,20,,Smiths Falls ,CJHL,,,,,,,5′ 11,190,QJAAAHL,53,26,26,52,0.98,58,0,57,51,59,110,1.93,67,0,10.12864
174,Washington Capitals,Greg Burke,US,LW,18,,New Hampshire ,EJHL,,,,,,,6′ 1,185,EJHL,34,6,12,18,0.53,22,0,40,21,25,46,1.15,46,0,6.0352
175,New York Islanders,Justin Dibenedetto,CA,C,20,2011,Sarnia Sting ,OHL,8,0,1,1,-2,2,6′ 0,188,OHL,58,28,35,63,1.09,46,21,58,39,54,93,1.6,61,12,8.3968
176,Dallas Stars,Matthew Tassone,CA,C,18,,Swift Current Broncos ,WHL,,,,,,,6′ 0,200,WHL,38,6,2,8,0.21,60,3,60,19,17,36,0.6,111,16,3.1488
177,San Jose Sharks,Tommy Wingels,US,C,20,2018,Miami ,Ohio ,448,62,81,143,-39,254,6′ 0,195,USHL,47,10,18,28,0.6,52,1,42,15,14,29,0.69,22,10,3.62112
178,Philadelphia Flyers,Zac Rinaldo,CA,C,18,2021,Mississauga St. Michael's Majors ,OHL,374,18,24,42,-43,758,5′ 11,169,OPJHL,44,16,16,32,0.73,193,0,63,7,7,14,0.22,191,14,1.15456
179,Chicago Blackhawks,Braden Birch,CA,D,18,,Oakville ,OPJHL,,,,,,,6′ 3,192,GHL,43,10,11,21,0.49,86,0,13,1,4,5,0.38,6,0,1.99424
181,Detroit Red Wings,Stephen Johnston,CA,LW,18,,Belleville Bulls ,OHL,,,,,,,6′ 1,175,CAHS,48,37,39,76,1.58,0,0,56,2,7,9,0.16,12,0,0.83968
182,Tampa Bay Lightning,Matias Sointu,FI,RW,18,,Ilves Jr. ,Finland Jr.,,,,,,,5′ 10,154,U18-SM Sarja,34,22,23,45,1.32,32,0,41,21,19,40,0.98,38,17,5.14304
183,Los Angeles Kings,Garrett Roe,US,LW,20,,St. Cloud State ,WCHA,,,,,,,5′ 8,162,USHL,57,24,39,63,1.11,143,3,39,18,27,45,1.15,55,8,6.0352
184,Atlanta Thrashers,Zach Redmond,US,D,20,2018,Ferris State ,CCHA,133,9,29,38,12,50,6′ 2,197,USHL,60,8,31,39,0.65,37,2,37,6,13,19,0.51,37,15,2.67648
186,San Jose Sharks,Jason Demers,CA,D,20,2021,Victoriaville Tigres ,QMJHL,699,45,169,214,31,407,6′ 1,195,OHL,31,2,4,6,0.19,29,5,67,9,55,64,0.96,91,6,5.03808
187,Columbus Blue Jackets,Sean Collins,CA,C,19,2016,Waywayseecappo ,MJHL,21,0,3,3,-2,10,6′ 3,184,MJHL,70,20,69,89,1.27,34,0,60,51,64,115,1.92,34,0,10.07616
188,Toronto Maple Leafs,Andrew MacWilliam,CA,D,18,2015,Camrose ,AJHL,12,0,2,2,-6,12,6′ 2,214,AMHL,35,5,13,18,0.51,125,0,54,0,13,13,0.24,130,0,1.26
189,Phoenix Coyotes,Tim Billingsley,CA,D,18,,Mississauga St. Michael's Majors ,OHL,,,,,,,6′ 1,177,OHL,49,2,6,8,0.16,24,19,68,5,22,27,0.4,95,8,2.0992
190,Florida Panthers,Matt Bartkowski,US,D,20,2021,Lincoln Stars ,USHL,256,8,40,48,-12,157,6′ 1,196,USHL,57,3,6,9,0.16,95,9,60,4,37,41,0.68,135,19,3.56864
192,Chicago Blackhawks,Joe Gleason,US,D,18,,Edina HS ,High-MN,,,,,,,5′ 9,171,USHS-MN,21,10,23,33,1.57,6,0,23,9,33,42,1.83,0,0,9.60384
193,Edmonton Oilers,Jordan Bendfeld,CA,D,20,,Medicine Hat Tigers ,WHL,,,,,,,6′ 3,245,WHL,72,9,21,30,0.42,136,15,72,6,19,25,0.35,160,8,1.8368
194,San Jose Sharks,Drew Daniels,US,RW,19,,Kent School ,High-CT,,,,,,,6′ 2,185,USHS-Prep,25,12,22,34,1.36,0,0,25,12,36,47,1.88,14,0,9.86624
195,Carolina Hurricanes,Samuel Morneau,CA,LW,18,,Baie-Comeau Drakkar ,QMJHL,,,,,,,5′ 11,190,QMJHL,51,6,10,16,0.31,34,6,68,23,19,42,0.62,54,16,3.25376
197,Boston Bruins,Mark Goggin,US,C,18,,Choate-Rosemary Hall ,High-CT,,,,,,,5′ 11,177,USHS-Prep,24,15,19,34,1.42,0,0,21,15,21,36,1.71,10,0,8.97408
198,Calgary Flames,Alexander Deilert,SE,D,19,,Djurgardens IF Jr. ,Sweden Jr.,,,,,,,5′ 11,180,Sweden Jr.,28,1,4,5,0.18,10,0,38,6,12,18,0.47,70,0,2.46656
199,Ottawa Senators,Emil Sandin,SE,LW,20,,Brynas IF ,Sweden,,,,,,,5′ 10,178,Sweden Jr.,39,10,20,30,0.77,40,0,19,0,4,4,0.21,0,0,1.10208
200,Colorado Avalanche,Nathan Condon,US,C,18,,Wausau West HS ,High-WI,,,,,,,6′ 0,180,USHS-WI,21,21,27,48,2.29,10,0,23,33,26,59,2.57,10,0,13.48736
201,Nashville Predators,Jani Lajunen,FI,C,18,,Blues Jr. ,Finland Jr.,,,,,,,6′ 1,184,U18-SM Sarja,28,5,12,17,0.61,20,0,25,4,10,14,0.56,14,11,2.93888
202,New Jersey Devils,Harry Young,CA,D,18,,Windsor Spitfires ,OHL,,,,,,,6′ 4,215,OHL,54,0,5,5,0.09,83,14,68,2,12,14,0.21,155,13,1.10208
203,Tampa Bay Lightning,David Carle,US,D,18,,Shattuck-St. Mary's School ,High-MN,,,,,,,5′ 11,180,USHS-Prep,61,4,9,13,0.21,66,0,61,13,38,51,0.84,61,0,4.40832
204,Washington Capitals,Stefan Della Rovere,CA,LW,18,2011,Barrie Colts ,OHL,7,0,0,0,0,11,5′ 11,200,OHL,48,7,7,14,0.29,37,1,68,13,19,32,0.47,171,14,2.46656
205,New Jersey Devils,Jean-Sebastien Berube,CA,LW,18,,Rouyn-Noranda Huskies ,QMJHL,,,,,,,6′ 4,210,QMJHL,40,3,7,10,0.25,22,8,64,12,12,24,0.38,118,18,1.99424
206,Montreal Canadiens,Patrick Johnson,US,LW,19,,Wisconsin ,WCHA,,,,,,,5′ 9,155,USHL,49,11,16,27,0.55,50,11,40,8,13,21,0.53,36,9,2.78144
208,Anaheim Ducks,Nick Pryor,US,D,18,,USA U-18 Development Team ,USDP/NAHL,,,,,,,5′ 11,184,USDP/NAHL,37,1,3,4,0.11,10,0,41,3,9,12,0.29,6,0,1.52192
209,Dallas Stars,Mike Bergin,CA,D,20,,Smiths Falls ,CJHL,,,,,,,6′ 3,197,CCHL,53,10,35,45,0.85,116,0,45,14,27,41,0.91,60,0,4.77568
210,Pittsburgh Penguins,Nick D'Agostino,CA,D,18,,St. Michael's ,OPJHL,,,,,,,6′ 2,197,GTHL U18,38,6,26,32,0.84,0,0,46,5,18,23,0.5,22,0,2.624
211,Detroit Red Wings,Jesper Samuelsson,SE,C,20,,HC Vita Hasten ,Sweden-3,,,,,,,5′ 11,178,Division 1,36,15,29,44,1.22,38,13,40,20,42,62,1.55,73,0,8.1344
