,Round 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-,NHLe
26,Buffalo Sabres,Tyler Ennis,CA,C,18,2022,Medicine Hat Tigers ,WHL,700,144,202,346,-84,224,5′ 9,157,WHL,71,26,24,50,0.7,30,1,70,43,48,91,1.3,42,11,6.8224
27,Washington Capitals,John Carlson,US,D,18,2023,Indiana Ice ,USHL,904,137,467,604,95,292,6′ 3,208,AJHL,44,12,38,50,1.14,96,0,59,12,31,43,0.73,72,11,3.83104
28,Phoenix Coyotes,Viktor Tikhonov,LV,RW,20,2016,Severstal Cherepovets ,Russia,111,11,11,22,-13,40,6′ 2,190,Russia-3,21,14,16,30,1.43,20,0,43,7,5,12,0.28,43,1,1.46944
29,Atlanta Thrashers,Daultan Leveille,CA,C,18,,St. Catharines ,GHL,,,,,,,6′ 0,172,GHL,48,19,26,45,0.94,30,0,45,29,27,56,1.24,38,0,6.50752
32,Los Angeles Kings,Slava Voynov,RU,D,18,2015,Traktor Chelyabinsk ,Russia,190,18,63,81,23,72,5′ 11,193,Russia,31,0,0,0,0,12,8,36,1,3,4,0.11,20,1,0.57728
33,St. Louis Blues,Philip McRae,US,C,18,2011,London Knights ,OHL,15,1,2,3,-10,2,6′ 2,200,OHL,63,2,8,10,0.16,27,12,66,18,28,46,0.7,61,5,3.6736
35,Anaheim Ducks,Nicolas Deschamps,CA,C,18,2014,Chicoutimi Sagueneens ,QMJHL,3,0,0,0,-1,0,6′ 0,173,QMAAA,35,20,28,48,1.37,60,0,70,24,43,67,0.96,63,12,5.03808
36,New York Islanders,Corey Trivino,CA,C,18,,Stouffville ,OPJHL,,,,,,,6′ 1,170,OPJHL,49,24,34,58,1.18,24,13,39,19,50,69,1.77,22,0,9.28896
37,Columbus Blue Jackets,Cody Goloubef,CA,D,18,2020,Wisconsin ,WCHA,160,3,22,25,-7,76,6′ 0,195,OPJHL,9,5,5,10,1.11,46,0,40,4,6,10,0.25,36,1,1.312
38,Nashville Predators,Roman Josi,CH,D,18,2023,SC Bern ,Swiss,780,144,414,558,61,310,6′ 1,198,U20-Elit,33,14,16,30,0.91,28,0,35,2,6,8,0.23,10,0,1.20704
39,Anaheim Ducks,Eric O'Dell,CA,C,18,2015,Sudbury Wolves ,OHL,41,3,5,8,-2,29,6′ 0,195,CCHL,2,1,0,1,0.5,0,0,26,14,18,32,1.23,19,10,6.45504
40,New York Islanders,Aaron Ness,US,D,18,2021,Roseau HS ,High-MN,72,1,6,7,-7,22,5′ 10,170,USHS-MN,31,13,38,51,1.65,12,0,31,28,44,72,2.32,16,0,12.17536
41,Vancouver Canucks,Yann Sauve,CA,D,18,2014,Saint John Sea Dogs ,QMJHL,8,0,0,0,-4,0,6′ 3,209,QMJHL,60,2,13,15,0.25,75,25,70,26,39,65,0.93,30,11,4.88064
42,Ottawa Senators,Patrick Wiercioch,CA,D,18,2017,Omaha Lancers ,USHL,268,16,58,74,-5,138,6′ 4,192,BCHL,42,9,16,25,0.6,46,0,40,3,18,21,0.53,24,12,2.78144
43,Anaheim Ducks,Justin Schultz,CA,D,18,2023,Westside ,BCHL,623,60,215,275,-38,150,6′ 1,163,U18 A1,36,29,29,58,1.61,29,0,57,9,31,40,0.7,28,0,3.6736
44,Buffalo Sabres,Luke Adam,CA,C,18,2015,St. John's Fog Devils ,QMJHL,90,15,11,26,-11,36,6′ 2,203,QMJHL,63,6,9,15,0.24,51,7,70,36,30,66,0.94,72,9,4.93312
45,Carolina Hurricanes,Zac Dalpe,CA,RW,18,2022,Pentiction ,BCHL,154,14,14,28,-33,36,6′ 1,195,MJHL,52,30,43,73,1.4,68,0,46,27,36,63,1.37,14,0,7.18976
46,Florida Panthers,Colby Robak,CA,D,18,2015,Brandon Wheat Kings ,WHL,47,0,4,4,-2,25,6′ 3,194,WHL,39,2,3,5,0.13,12,1,71,6,24,30,0.42,25,6,2.20416
47,Boston Bruins,Max Sauve,FR,C,18,2012,Val-d'Or Foreurs ,QMJHL,1,0,0,0,0,0,6′ 0,170,QMJHL,60,10,6,16,0.27,24,13,70,26,39,65,0.93,30,11,4.88064
48,Calgary Flames,Mitch Wahl,US,C,18,,Spokane Chiefs ,WHL,,,,,,,6′ 0,175,WHL,69,16,32,48,0.7,50,5,67,20,53,73,1.09,63,33,5.72032
49,Phoenix Coyotes,Jared Staal,CA,RW,18,2013,Sudbury Wolves ,OHL,2,0,0,0,-2,2,6′ 4,210,OHL,63,2,1,3,0.05,18,7,60,21,28,49,0.82,44,11,4.30336
50,Colorado Avalanche,Cameron Gaunce,CA,D,18,2020,Mississauga St. Michael's Majors ,OHL,37,3,6,9,4,47,6′ 1,203,OPJHL,45,2,12,14,0.31,68,0,63,10,30,40,0.63,99,1,3.30624
51,New York Rangers,Derek Stepan,US,C,18,2023,Shattuck-St. Mary's School ,High-MN,838,177,328,505,91,212,6′ 0,182,USHS-Prep,63,38,32,70,1.11,22,0,60,44,67,111,1.85,22,0,9.7088
52,New Jersey Devils,Brandon Burlon,CA,D,18,,St. Michael's ,OPJHL,,,,,,,6′ 0,190,OPJHL,45,4,19,23,0.51,46,0,32,7,17,24,0.75,41,0,3.936
53,New York Islanders,Travis Hamonic,CA,D,18,2023,Moose Jaw Warriors ,WHL,739,46,166,212,7,666,6′ 2,208,WHL,22,0,3,3,0.14,30,2,61,5,17,22,0.36,101,5,1.88928
54,New Jersey Devils,Patrice Cormier,CA,C,18,2016,Rimouski Oceanic ,QMJHL,52,1,4,5,-5,18,6′ 2,215,QMJHL,53,11,10,21,0.4,73,0,51,18,23,41,0.8,84,11,4.1984
55,Minnesota Wild,Marco Scandella,CA,D,18,2022,Val-d'Or Foreurs ,QMJHL,699,48,112,160,7,273,6′ 2,190,QMAAA,42,7,13,20,0.48,66,0,65,4,10,14,0.22,35,22,1.15456
56,Montreal Canadiens,Danny Kristo,US,RW,18,,USA U-18 Development Team ,USDP/NAHL,,,,,,,5′ 11,172,USDP/NAHL,59,12,16,28,0.47,36,0,57,22,18,40,0.7,51,0,3.6736
