Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-
100,Ottawa Senators,Shane Eiserman,US,C/LW,18,,Dubuque Fighting Saints ,USHL,,,,,,,6′ 1″,200,USDP/NAHL,62,11,11,22,0.35,43,0,53,16,24,40,0.75,71,18
101,Winnipeg Jets,Nelson Nogier,CA,D,18,2019,Saskatoon Blades ,WHL,11,0,0,0,-1,5,6′ 2″,191,WHL,55,0,4,4,0.07,8,7,37,1,5,6,0.16,25,2
102,San Jose Sharks,Alexis Vanier,CA,D,18,,Baie-Comeau Drakkar ,QMJHL,,,,,,,6′ 4″,215,QMJHL,53,0,8,8,0.15,66,9,61,15,21,36,0.59,52,11
103,Toronto Maple Leafs,John Piccinich,US,RW,18,,Youngstown Phantoms ,USHL,,,,,,,5′ 11″,190,USHL,63,3,12,15,0.24,4,14,60,27,31,58,0.97,31,12
104,New York Rangers,Ryan Mantha,US,D,18,,Indiana Ice ,USHL,,,,,,,6′ 4″,208,USHL,52,1,6,7,0.13,48,15,53,3,12,15,0.28,71,11
105,Dallas Stars,Michael Prapavessis,CA,D,18,,Toronto ,OJHL,,,,,,,6′ 0″,173,OPJHL,25,2,9,11,0.44,2,0,47,5,49,54,1.15,2,0
106,Detroit Red Wings,Christoffer Ehn,SE,C,18,2020,Frolunda HC Jr. ,Sweden Jr.,114,5,8,13,-26,8,6′ 3″,181,J18-Elit,21,6,14,20,0.95,6,7,45,4,7,11,0.24,14,7
107,Columbus Blue Jackets,Julien Pelletier,CA,LW,18,,Cape Breton Screaming Eagles ,QMJHL,,,,,,,5′ 11″,177,QMAAA,34,23,20,43,1.26,44,0,67,25,25,50,0.75,28,8
108,New York Islanders,Devon Toews,CA,D,20,2023,Quinnipiac ,ECAC,251,34,112,146,94,58,5′ 11″,175,BCHL,48,10,37,47,0.98,55,0,37,1,16,17,0.46,10,10
110,St. Louis Blues,Austin Poganski,US,RW,18,2022,Tri-City Storm ,USHL,22,0,0,0,-4,7,6′ 1″,198,USHS-MN,23,25,22,47,2.04,14,0,55,19,12,31,0.56,57,27
