Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-
190,Ottawa Senators,Francis Perron,CA,LW,18,,Rouyn-Noranda Huskies ,QMJHL,,,,,,,5′ 11″,166,QMJHL,57,7,11,18,0.32,28,1,68,16,39,55,0.81,32,3
191,Pheonix Coyotes,Jared Fiegl,US,LW,18,,USA U-18 Development Team ,USDP/USHL,,,,,,,6′ 1″,206,USDP/NAHL,56,8,9,17,0.30,37,0,45,2,4,6,0.13,26,1
192,Winnipeg Jets,Matt Ustaski,US,C/LW,20,,Langley ,BCHL,,,,,,,6′ 5″,221,BCHL,55,11,16,27,0.49,38,0,54,29,20,49,0.91,30,0
193,Pheonix Coyotes,Edgars Kulda,LV,LW,19,,Edmonton Oil Kings ,WHL,,,,,,,5′ 11″,177,WHL,64,6,11,17,0.27,34,4,66,30,30,60,0.91,57,34
194,Washington Capitals,Kevin Elgestal,SE,RW,18,,Frolunda HC Jr. ,Sweden Jr.,,,,,,,6′ 1″,176,J18-Elit,21,10,8,18,0.86,14,6,44,13,22,35,0.80,34,23
195,Dallas Stars,Patrick Sanvido,CA,D,18,,Windsor Spitfires ,OHL,,,,,,,6′ 5″,218,OHL,60,0,6,6,0.10,40,16,64,1,7,8,0.13,82,21
196,Detroit Red Wings,Axel Holmstrom,SE,C,18,,Skelleftea AIK Jr. ,Sweden Jr.,,,,,,,6′ 0″,198,J18-Elit,22,12,35,47,2.14,6,25,33,15,23,38,1.15,12,18
197,Columbus Blue Jackets,Olivier Leblanc,CA,D,18,,Saint John Sea Dogs ,QMJHL,,,,,,,5′ 11″,157,QMJHL,60,4,14,18,0.30,41,32,56,7,26,33,0.59,58,15
198,Philadelphia Flyers,Jesper Pettersson,SE,D,20,,Linkoping HC ,Sweden,,,,,,,5′ 9″,187,Sweden Jr.,18,3,9,12,0.67,14,13,48,0,1,1,0.02,30,8
199,Minnesota Wild,Pavel Jenys,CZ,C,18,,HC Kometa Brno ,Czech,,,,,,,6′ 3″,203,Czech U20,29,7,8,15,0.52,12,5,29,2,0,2,0.07,4,2
200,New York Islanders,Lukas Sutter,US,C,20,,Red Deer Rebels ,WHL,,,,,,,6′ 0″,209,WHL,72,13,11,24,0.33,168,8,45,10,13,23,0.51,76,6
201,Detroit Red Wings,Alexander Kadeykin,RU,C,20,,Atlant Mytishchi ,Russia,,,,,,,6′ 3″,213,Russia-3,26,14,29,43,1.65,4,32,54,8,15,23,0.43,24,17
202,St. Louis Blues,Dwyer Tschantz,US,RW,19,,Indiana Ice ,USHL,,,,,,,6′ 4″,209,T1EHL 18U,40,20,32,52,1.30,28,0,52,24,20,44,0.85,58,31
203,Pittsburgh Penguins,Jeff Taylor,US,D,20,,Union ,ECAC,,,,,,,6′ 0″,180,USHL,57,5,22,27,0.47,16,41,41,3,13,16,0.39,18,21
204,Colorado Avalanche,Julien Nantel,CA,C/LW,18,,Rouyn-Noranda Huskies ,QMJHL,,,,,,,6′ 0″,193,QMAAA,36,19,21,40,1.11,18,0,68,14,20,34,0.50,18,2
205,Anaheim Ducks,Ondrej Kase,CZ,RW,18,2023,Pirati Chomutov ,Czech,258,57,67,124,14,62,6′ 0″,165,Czech U20,22,9,7,16,0.73,18,13,37,4,3,7,0.19,10,4
206,Boston Bruins,Emil Johansson,SE,D,18,,HV71 Jr. ,Sweden Jr.,,,,,,,5′ 11″,194,J18 Elit,15,1,5,6,0.40,6,9,42,2,7,9,0.21,28,7
207,Montreal Canadiens,Jake Evans,CA,C/RW,18,2023,St. Michael's ,OJHL,152,18,29,47,-9,60,6′ 0″,172,OPJHL,50,12,32,44,0.88,45,0,49,16,47,63,1.29,79,0
208,Chicago Blackhawks,Jack Ramsey,US,RW,18,,Pentiction ,BCHL,,,,,,,6′ 2″,175,USHS-MN,22,8,18,26,1.18,2,0,57,9,16,25,0.44,27,0
209,Los Angeles Kings,Spencer Watson,CA,RW,18,,Kingston Frontenacs ,OHL,,,,,,,5′ 9″,170,OHL,63,23,20,43,0.68,18,0,65,33,35,68,1.05,16,31
210,Los Angeles Kings,Jacob Middleton,CA,D,18,2023,Ottawa 67's ,OHL,99,5,16,21,9,124,6′ 2″,200,OHL,29,1,4,5,0.17,25,13,65,2,21,23,0.35,64,21
