,Round 1,,,,,,,,NHL Scoring Stats,,,,,,,,,,,,,,,,,,,,,,
Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-
139,Colorado Avalanche,Luke Walker,US,RW,20,,Portland Winterhawks ,WHL,,,,,,,6′ 1,174,WHL,71,29,23,52,0.73,84,17,61,27,30,57,0.93,103,17
140,Pittsburgh Penguins,Kenny Agostino,US,LW,18,2021,Delbarton School ,High-NJ,86,8,22,30,-8,40,5′ 11,190,AYHL 16U,29,30,43,73,2.52,26,0,27,50,33,83,3.07,40,0
142,Washington Capitals,Caleb Herbert,US,C,18,,Bloomington Jefferson HS ,High-MN,,,,,,,5′ 10,165,USHS-MN,27,29,24,53,1.96,36,0,25,26,28,54,2.16,42,0
143,Buffalo Sabres,Gregg Sutch,CA,RW,18,,Mississauga St. Michael's Majors ,OHL,,,,,,,6′ 2,193,OHL,60,7,8,15,0.25,53,1,43,3,5,8,0.19,55,11
144,Toronto Maple Leafs,Sam Carrick,CA,C,18,2023,Brampton Battalion ,OHL,116,15,16,31,-12,142,6′ 0,188,OHL,61,10,11,21,0.34,47,2,66,21,21,42,0.64,96,0
145,Vancouver Canucks,Adam Polasek,CZ,D,19,,Prince Edward Island Rocket ,QMJHL,,,,,,,6′ 3,190,Czech U20,38,7,13,20,0.53,68,39,66,13,28,41,0.62,91,3
146,Toronto Maple Leafs,Daniel Brodin,SE,LW,20,,Djurgardens IF ,Sweden,,,,,,,6′ 1,172,Sweden Jr.,41,11,12,23,0.56,90,0,30,2,3,5,0.17,26,6
147,Montreal Canadiens,Brendan Gallagher,CA,RW,18,2023,Vancouver Giants ,WHL,658,197,192,389,59,407,5′ 8.5,163,WHL,52,10,21,31,0.60,61,26,72,41,40,81,1.13,111,9
148,Los Angeles Kings,Kevin Gravel,US,D,18,2020,Sioux City Musketeers ,USHL,109,1,12,13,-2,12,6′ 4,185,USDP/NAHL,58,3,11,14,0.24,29,2,53,3,3,6,0.11,36,8
149,Philadelphia Flyers,Michael Parks,US,RW,18,,Cedar Rapids Roughriders ,USHL,,,,,,,5′ 10.5,188,18U AAA,0,0,0,0,0.00,0,0,51,11,11,22,0.43,57,4
150,Atlanta Thrashers,Yasin Cisse,CA,RW,18,,Des Moines Buccaneers ,USHL,,,,,,,6′ 2,206,USHL,31,2,6,8,0.26,46,15,18,13,6,19,1.06,16,3
151,Chicago Blackhawks,Mirko Hoefflin,DE,C,18,,Heilbronner Falken ,Germany-2,,,,,,,6′ 0,174,DNL,36,14,31,45,1.25,26,0,18,0,3,3,0.17,0,0
152,Pittsburgh Penguins,Joe Rogalski,US,D,18,,Sarnia Sting ,OHL,,,,,,,6′ 1,195,OHL,68,2,11,13,0.19,40,8,66,6,23,29,0.44,75,38
153,Florida Panthers,Corey Durocher,CA,LW,18,,Kingston Frontenacs ,OHL,,,,,,,6′ 3,175,CCHL,60,7,20,27,0.45,16,0,66,15,11,26,0.39,31,5
154,Columbus Blue Jackets,Dalton Prout,CA,D,20,2020,Barrie Colts ,OHL,264,7,31,38,-13,321,6′ 3,209,OHL,65,0,6,6,0.09,98,11,63,7,14,21,0.33,121,26
155,Atlanta Thrashers,Kendall McFaull,CA,D,18,,Moose Jaw Warriors ,WHL,,,,,,,6′ 2,187,SMAAAHL,42,4,14,18,0.43,73,0,62,4,6,10,0.16,70,1
156,Tampa Bay Lightning,Brendan O'Donnell,CA,C,18,,Winnipeg South ,MJHL,,,,,,,6′ 0,185,MMHL,38,38,45,83,2.18,4,0,53,29,32,61,1.15,55,0
157,New York Rangers,Jesper Fast,SE,RW,18,2023,HV71 Jr. ,Sweden Jr.,570,77,129,206,33,136,5′ 11,165,Sweden Jr.,37,7,7,14,0.38,16,12,37,23,26,49,1.32,10,16
158,Los Angeles Kings,Maxim Kitsyn,RU,LW,18,,Metallurg Novokuznetsk ,Russia,,,,,,,6′ 2,182,Russia,31,5,2,7,0.23,26,2,21,1,1,2,0.1,12,0
160,Atlanta Thrashers,Tanner Lane,US,C,18,,Detroit Lakes HS ,High-MN,,,,,,,6′ 2,172,USHS-MN,25,24,25,49,1.96,48,10,25,49,41,90,3.6,62,0
161,Anaheim Ducks,Andreas Dahlstrom,SE,C,19,,AIK ,Sweden-2,,,,,,,5′ 11,176,Sweden Jr.,28,5,5,10,0.36,67,0,6,1,2,3,0.5,4,2
162,Edmonton Oilers,Brandon Davidson,CA,D,19,2021,Regina Pats ,WHL,180,9,14,23,-24,82,6′ 1,190,AMHL,31,7,14,21,0.68,52,0,59,1,33,34,0.58,37,15
163,San Jose Sharks,Konrad Abeltshauser,DE,D,18,,Halifax Mooseheads ,QMJHL,,,,,,,6′ 3,189,DNL,36,16,28,44,1.22,24,0,48,5,20,25,0.52,28,26
164,St. Louis Blues,Stephen Macaulay,CA,LW,18,,Saint John Sea Dogs ,QMJHL,,,,,,,6′ 1,175,QMJHL,47,2,4,6,0.13,8,7,56,8,13,21,0.38,39,18
166,Edmonton Oilers,Drew Czerwonka,CA,LW,18,,Kootenay Ice ,WHL,,,,,,,6′ 2,189,WHL,55,16,2,18,0.33,83,10,54,4,9,13,0.24,106,5
167,Carolina Hurricanes,Tyler Stahl,CA,D,18,,Chilliwack Bruins ,WHL,,,,,,,6′ 1,180,SSMHL U18,34,25,15,40,1.18,182,0,59,0,6,6,0.1,146,15
168,Nashville Predators,Anthony Bitetto,US,D,20,2021,Indiana Ice ,USHL,197,3,28,31,-15,142,6′ 1,210,USHL,24,1,3,4,0.17,29,7,58,11,29,40,0.69,99,11
169,Atlanta Thrashers,Sebastian Owuya,SE,D,18,,Timra IK Jr. ,Sweden Jr.,,,,,,,6′ 3,194,J18-Elit,17,0,4,4,0.24,24,0,40,3,13,16,0.4,118,0
170,Pittsburgh Penguins,Reid McNeill,CA,D,18,,London Knights ,OHL,,,,,,,6′ 3,191,SOJHL,16,0,4,4,0.25,12,0,53,2,3,5,0.09,32,11
171,Detroit Red Wings,Brooks Macek,CA,C,18,,Tri-City Americans ,WHL,,,,,,,5′ 11,180,WHL,60,8,16,24,0.40,24,4,72,21,52,73,1.01,26,6
172,Vancouver Canucks,Alex Friesen,CA,C,19,2016,Niagara IceDogs ,OHL,1,0,0,0,-2,0,5′ 9,186,OHL,64,11,22,33,0.52,94,12,60,23,37,60,1,94,18
173,Buffalo Sabres,Cedrick Henley,CA,LW,18,,Val-d'Or Foreurs ,QMJHL,,,,,,,6′ 5,195,QMJHL,61,7,12,19,0.31,26,4,44,5,7,12,0.27,43,8
176,Washington Capitals,Samuel Carrier,CA,D,18,,Lewiston MAINEiacs ,QMJHL,,,,,,,6′ 0,181,QMJHL,56,4,5,9,0.16,49,11,66,10,32,42,0.64,65,9
177,Anaheim Ducks,Kevin Lind,US,D,18,,Chicago Steel ,USHL,,,,,,,6′ 2.5,202,USHL,50,2,3,5,0.10,45,1,55,6,10,16,0.29,76,3
178,Ottawa Senators,Mark Stone,CA,RW,18,2023,Brandon Wheat Kings ,WHL,562,188,306,494,119,187,6′ 2,180,WHL,56,17,22,39,0.70,27,5,39,11,17,28,0.72,25,13
179,Philadelphia Flyers,Nick Luukko,US,D,18,,The Gunnery ,High-CT,,,,,,,6′ 2,180,USHS-Prep,34,4,11,15,0.44,0,0,31,2,21,23,0.74,20,0
180,Chicago Blackhawks,Nick Mattson,US,D,18,,Indiana Ice ,USHL,,,,,,,6′ 0,176,USDP/NAHL,47,3,14,17,0.36,4,0,51,5,14,19,0.37,14,7
181,Edmonton Oilers,Kristians Pelss,LV,LW,18,,Dinamo Juniors Riga ,Belarus,,,,,,,5′ 11,179,Belarus,31,3,4,7,0.23,14,10,46,6,3,9,0.2,28,18
182,Toronto Maple Leafs,Josh Nicholls,CA,RW,18,,Saskatoon Blades ,WHL,,,,,,,6′ 1.5,174,WHL,63,9,16,25,0.40,37,6,71,18,30,48,0.68,55,19
183,Florida Panthers,R.J. Boyd,US,D,19,,Cushing Academy ,High-MA,,,,,,,6′ 2,175,USHS-Prep,35,2,11,13,0.37,35,0,31,4,18,22,0.71,0,0
186,Tampa Bay Lightning,Teigan Zahn,CA,D,20,,Saskatoon Blades ,WHL,,,,,,,6′ 1,218,WHL,62,5,11,16,0.26,160,5,44,0,3,3,0.07,84,3
188,San Jose Sharks,Lee Moffie,US,D,20,,Michigan ,CCHA,,,,,,,6′ 1,200,USHL,55,9,35,44,0.80,97,1,29,4,8,12,0.41,27,2
189,Minnesota Wild,Dylen McKinlay,CA,RW,18,,Chilliwack Bruins ,WHL,,,,,,,5′ 11,162,WHL,55,3,7,10,0.18,47,15,72,22,20,42,0.58,57,0
190,New York Rangers,Randy McNaught,CA,RW,20,,Saskatoon Blades ,WHL,,,,,,,6′ 4,222,WHL,51,5,4,9,0.18,78,14,65,6,6,12,0.18,163,2
192,Anaheim Ducks,Brett Perlini,CA,C,20,,Michigan State ,CCHA,,,,,,,6′ 2,200,NCAA,26,2,1,3,0.12,4,16,20,7,5,12,0.6,10,5
193,Calgary Flames,Patrick Holland,CA,RW,18,2014,Tri-City Americans ,WHL,5,0,0,0,0,0,6′ 0,167,AMHL,34,17,28,45,1.32,20,0,59,16,20,36,0.61,14,2
194,Nashville Predators,David Elsner,DE,LW,18,,Landshut ,Germany-2,,,,,,,6′ 0,185,DNL,36,17,18,35,0.97,46,0,29,6,3,9,0.31,6,0
195,Boston Bruins,Maxim Chudinov,RU,D,20,,Severstal Cherepovets ,Russia,,,,,,,5′ 11,187,Russia,26,0,0,0,0.00,14,6,47,6,8,14,0.3,30,10
196,Ottawa Senators,Bryce Aneloski,US,D,20,,Cedar Rapids Roughriders ,USHL,,,,,,,6′ 2,197,USHL,38,4,8,12,0.32,38,3,60,15,39,54,0.9,34,10
197,Colorado Avalanche,Luke Moffatt,US,C,18,,USA U-18 Development Team ,USDP/USHL,,,,,,,5′ 11,185,USDP/NAHL,42,17,10,27,0.64,30,10,67,19,20,39,0.58,48,0
198,Nashville Predators,Joonas Rask,FI,C,20,2013,Ilves ,Finland,2,0,1,1,-1,0,5′ 11,168,Finland Jr.,25,8,11,19,0.76,8,1,43,10,9,19,0.44,32,1
199,Atlanta Thrashers,Peter Stoykewych,CA,D,18,,Winnipeg South ,MJHL,,,,,,,6′ 2,188,MJHL,53,4,12,16,0.30,33,0,56,6,25,31,0.55,63,0
200,San Jose Sharks,Chris Crane,US,RW,18,,Green Bay Gamblers ,USHL,,,,,,,6′ 0,189,USHL,48,10,9,19,0.40,120,7,52,15,14,29,0.56,107,17
201,Detroit Red Wings,Ben Marshall,US,D,18,,Mahtomedi HS ,High-MN,,,,,,,5′ 9,160,USHS-MN,29,21,29,50,1.72,30,0,23,18,31,49,2.13,40,0
202,Edmonton Oilers,Kellen Jones,CA,F,20,,Vernon ,BCHL,,,,,,,5′ 9,164,BCHL,51,15,37,52,1.02,16,0,41,12,41,53,1.29,18,0
203,Buffalo Sabres,Christian Isackson,US,RW,18,,St. Thomas Academy ,High-MN,,,,,,,6′ 0,174,USHS-MN,25,16,32,48,1.92,4,0,25,24,33,57,2.28,26,0
204,New Jersey Devils,Mauro Jorg,CH,LW,20,,HC Lugano ,Swiss,,,,,,,6′ 0,192,U20-Elit,6,0,4,4,0.67,0,0,44,1,7,8,0.18,14,0
205,Vancouver Canucks,Sawyer Hannay,CA,D,18,,Halifax Mooseheads ,QMJHL,,,,,,,6′ 4,190,MMHL,34,5,17,22,0.65,74,0,54,1,5,6,0.11,158,17
206,Philadelphia Flyers,Ricard Blidstrand,SE,D,18,,AIK Jr. ,Sweden Jr.,,,,,,,6′ 3,196,J18-Elit,17,1,8,9,0.53,26,12,33,2,6,8,0.24,4,7
207,Montreal Canadiens,John Westin,SE,LW,18,,MODO Hockey Jr. ,Sweden Jr.,,,,,,,6′ 0,183,J18-Elit,16,3,10,13,0.81,16,0,31,16,10,26,0.84,18,0
208,Buffalo Sabres,Riley Boychuk,CA,LW,19,,Portland Winterhawks ,WHL,,,,,,,6′ 4,210,WHL,62,7,10,17,0.27,86,10,66,14,16,30,0.45,157,12
209,Philadelphia Flyers,Brendan Ranford,CA,LW,18,2015,Kamloops Blazers ,WHL,1,0,0,0,0,0,5′ 9,160,WHL,66,13,14,27,0.41,46,17,72,29,36,65,0.9,83,2
210,Boston Bruins,Zach Trotman,US,D,20,2020,Lake Superior State ,CCHA,91,3,10,13,1,30,6′ 2,202,USDP/NAHL,47,2,4,6,0.13,79,4,36,2,6,8,0.22,18,10
