,Round 1,,,,,,,NHL Scoring Stats,,,,,,,,,,,,,,,,,,,,,,,
Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-
60,Minnesota Wild,Mario Lucia,US,LW,18,,Wayzata HS ,High-MN,,,,,,,6′ 3,201,USHS-MN,25,15,25,40,1.60,6,0,24,25,22,47,1.96,14,0
61,Ottawa Senators,Shane Prince,US,C,18,2018,Ottawa 67's ,OHL,128,12,26,38,-6,39,5′ 10,181,OHL,65,15,15,30,0.46,45,2,59,25,63,88,1.49,18,43
63,New York Islanders,Andrey Pedan,LT,D,18,2016,Guelph Storm ,OHL,13,0,0,0,-3,18,6′ 4,201,N/A,0,0,0,0,0.00,0,0,51,2,10,12,0.24,89,11
64,Florida Panthers,Vincent Trocheck,US,C,18,2023,Saginaw Spirit ,OHL,576,157,235,392,-13,384,5′ 10,178,OHL,68,15,28,43,0.63,56,5,68,26,36,62,0.91,60,14
65,Anaheim Ducks,Joseph Cramarossa,CA,C,18,2023,Mississauga St. Michael's Majors ,OHL,68,5,8,13,-1,81,6′ 0,190,OHL,64,6,10,16,0.25,60,5,59,12,20,32,0.54,101,22
66,Columbus Blue Jackets,T.J. Tynan,US,C,19,2022,Notre Dame ,CCHA,21,0,1,1,-2,2,5′ 8,165,USHL,60,17,55,72,1.20,55,21,44,23,31,54,1.23,36,19
67,Winnipeg Jets,Adam Lowry,US,LW,18,2023,Swift Current Broncos ,WHL,557,83,93,176,14,293,6′ 4,187,WHL,61,15,19,34,0.56,57,9,66,18,27,45,0.68,84,21
68,Philadelphia Flyers,Nick Cousins,CA,C,18,2023,Soo Greyhounds ,OHL,461,57,87,144,-20,216,5′ 10,169,OHL,67,11,21,32,0.48,34,7,68,29,39,68,1,56,14
69,New Jersey Devils,forfeited pick,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,#DIV/0!,,
70,Chicago Blackhawks,Michael Paliotta,US,D,18,2016,USA U-18 Development Team ,USDP/USHL,2,0,1,1,0,4,6′ 3,198,USDP/NAHL,50,2,12,14,0.28,53,0,60,1,14,15,0.25,77,0
72,New York Rangers,Steven Fogarty,US,C,18,2023,Edina HS ,High-MN,31,1,2,3,-2,12,6′ 2,194,USHS-MN,25,18,12,30,1.20,4,0,24,23,17,40,1.67,12,0
73,Carolina Hurricanes,Keegan Lowe,US,D,18,2018,Edmonton Oil Kings ,WHL,4,0,0,0,-3,10,6′ 1,173,WHL,69,2,12,14,0.20,60,16,71,2,22,24,0.34,123,33
74,Edmonton Oilers,Travis Ewanyk,CA,LW,18,,Edmonton Oil Kings ,WHL,,,,,,,6′ 1,176,WHL,42,1,4,5,0.12,45,8,72,16,11,27,0.38,126,3
75,New Jersey Devils,Blake Coleman,US,C,19,2023,Indiana Ice ,USHL,401,90,78,168,13,315,5′ 10,198,USHL,58,10,18,28,0.48,56,10,59,34,58,92,1.56,72,52
76,Florida Panthers,Logan Shaw,CA,RW,19,2022,Cape Breton Screaming Eagles ,QMJHL,232,16,23,39,-13,37,6′ 3,193,QMJHL,67,9,15,24,0.36,31,11,68,26,20,46,0.68,37,18
77,Buffalo Sabres,Daniel Catenacci,CA,C,18,2018,Soo Greyhounds ,OHL,12,0,0,0,-3,0,5′ 9,186,OHL,65,10,20,30,0.46,68,6,67,26,45,71,1.06,117,5
78,Winnipeg Jets,Brennan Serville,CA,D,18,,Stouffville ,OJHL,,,,,,,6′ 3,184,OPJHL,43,3,12,15,0.35,26,0,36,3,27,30,0.83,29,0
79,Chicago Blackhawks,Klas Dahlbeck,SE,D,20,2018,Linkoping HC ,Sweden,170,6,17,23,-31,87,6′ 2,194,Sweden Jr.,39,4,7,11,0.28,8,0,47,0,8,8,0.17,12,7
80,Los Angeles Kings,Andy Andreoff,CA,LW,20,2022,Oshawa Generals ,OHL,185,14,12,26,-16,225,6′ 1,198,OHL,67,15,33,48,0.72,70,18,66,33,42,75,1.14,109,34
81,Boston Bruins,Anthony Camara,CA,LW,18,,Saginaw Spirit ,OHL,,,,,,,6′ 0,194,OHL,65,6,6,12,0.18,96,9,64,8,9,17,0.27,132,9
82,Los Angeles Kings,Nick Shore,US,C,18,2020,Denver ,WCHA,299,18,41,59,-14,98,6′ 0,184,USDP/NAHL,39,13,24,37,0.95,30,0,33,7,11,18,0.55,37,0
83,Anaheim Ducks,Andy Welinski,US,D,18,2021,Green Bay Gamblers ,USHL,46,1,5,6,-2,8,6′ 1,188,USHS-MN,19,3,12,15,0.79,16,0,51,6,8,14,0.27,14,10
84,Phoenix Coyotes,Harrison Ruopp,CA,D,18,,Prince Albert Raiders ,WHL,,,,,,,6′ 2,198,WHL,33,0,0,0,0.00,38,15,54,0,9,9,0.17,98,8
85,Detroit Red Wings,Alan Quine,CA,C,18,2020,Peterborough Petes ,OHL,106,10,18,28,-5,22,5′ 11,184,OHL,64,11,17,28,0.44,8,6,69,26,27,53,0.77,8,36
86,Toronto Maple Leafs,Josh Leivo,CA,LW,18,2023,Sudbury Wolves ,OHL,224,38,43,81,7,68,6′ 1,173,ETAHL U18,52,21,41,62,1.19,59,0,64,13,17,30,0.47,37,10
87,Florida Panthers,Jonathan Racine,CA,D,18,2014,Shawinigan Cataractes ,QMJHL,1,0,0,0,-1,2,6′ 1,183,QMJHL,55,0,4,4,0.07,43,9,68,2,5,7,0.1,86,0
89,San Jose Sharks,Justin Sefton,CA,D,18,,Sudbury Wolves ,OHL,,,,,,,6′ 2,209,OHL,65,1,6,7,0.11,83,17,66,5,6,11,0.17,124,8
90,Vancouver Canucks,Alexandre Grenier,CA,RW,20,2017,Quebec Remparts ,QMJHL,9,0,0,0,-5,2,6′ 5,200,QJAAAHL,51,26,28,54,1.06,63,13,31,9,15,24,0.77,6,1
91,Florida Panthers,Kyle Rau,US,C,18,2022,Eden Priarie HS ,High-MN,61,2,5,7,-8,15,5′ 8,163,USHS-MN,25,38,39,77,3.08,12,0,25,33,36,69,2.76,8,0
92,Edmonton Oilers,Dillon Simpson,CA,D,18,2017,North Dakota ,WCHA,3,0,0,0,0,2,6′ 1,192,AJHL,58,12,29,41,0.71,19,0,30,2,8,10,0.33,8,10
93,Colorado Avalanche,Joachim Nermark,SE,C,18,,Linkoping HC Jr. ,Sweden Jr.,,,,,,,6′ 0,185,Sweden Jr.,35,6,7,13,0.37,2,0,37,8,18,26,0.7,16,0
94,Nashville Predators,Josh Shalla,CA,LW,19,,Saginaw Spirit ,OHL,,,,,,,6′ 1,202,OHL,68,32,33,65,0.96,62,23,68,47,25,72,1.06,62,24
95,New York Islanders,Robbie Russo,US,D,18,2017,USA U-18 Development Team ,USDP/USHL,19,0,0,0,2,2,5′ 11,186,USDP/NAHL,52,7,24,31,0.60,58,0,60,4,26,30,0.5,27,0
96,Ottawa Senators,Jean-Gabriel Pageau,CA,C,18,2023,Gatineau Olympiques ,QMJHL,587,126,138,264,21,212,5′ 9,163,QMJHL,62,16,15,31,0.50,20,4,67,32,47,79,1.18,22,23
97,Montreal Canadiens,Josiah Didier,US,D,18,,Cedar Rapids Roughriders ,USHL,,,,,,,6′ 2,199,T1EHL 16U,38,7,13,20,0.53,22,0,58,8,13,21,0.36,81,5
98,Columbus Blue Jackets,Mike Reilly,US,D,18,2023,Shattuck-St. Mary's School ,High-MN,339,12,86,98,-10,132,5′ 11,156,USHS-MN,24,4,29,33,1.38,19,0,54,14,34,48,0.89,30,0
99,New Jersey Devils,Reid Boucher,US,RW,18,2019,USA U-18 Development Team ,USDP/USHL,133,20,22,42,-33,18,5′ 10,192,USDP/NAHL,42,17,13,30,0.71,38,0,57,32,22,54,0.95,35,0
100,Toronto Maple Leafs,Tom Nilsson,SE,D,18,,Mora IK Jr. ,Sweden Jr.,,,,,,,6′ 0,176,J18-Elit,21,8,6,14,0.67,12,0,37,2,6,8,0.22,26,0
101,Vancouver Canucks,Joseph Labate,US,C,18,2017,Academy of Holy Angels ,High-MN,13,0,0,0,-2,21,6′ 4,190,USHS-MN,25,29,29,58,2.32,26,0,25,27,22,49,1.96,42,0
102,St. Louis Blues,Yannick Veilleux,CA,LW,18,,Shawinigan Cataractes ,QMJHL,,,,,,,6′ 2,190,QMJHL,55,3,6,9,0.16,17,17,68,19,29,48,0.71,40,9
103,Carolina Hurricanes,Gregory Hofmann,CH,C,18,2022,HC Ambri-Piotta ,Swiss,24,2,5,7,6,8,6′ 0,175,U20-Elit,34,25,30,55,1.62,20,0,41,3,9,12,0.29,2,6
104,Calgary Flames,John Gaudreau,US,LW,18,2023,Dubuque Fighting Saints ,USHL,621,217,410,627,80,138,5′ 6,137,T1EHL 18U,48,29,29,58,1.21,16,0,60,36,36,72,1.2,36,21
105,Dallas Stars,Emil Molin,SE,RW,18,,Brynas IF Jr. ,Sweden Jr.,,,,,,,6′ 0,170,J18-Elit,20,15,19,34,1.70,18,30,9,0,1,1,0.11,2,4
106,New York Rangers,Michael St. Croix,CA,C,18,,Edmonton Oil Kings ,WHL,,,,,,,5′ 10,177,WHL,66,18,28,46,0.70,30,21,68,27,48,75,1.1,48,28
107,Buffalo Sabres,Colin Jacobs,US,C,18,,Seattle Thunderbirds ,WHL,,,,,,,6′ 1,205,WHL,72,13,13,26,0.36,119,33,68,22,22,44,0.65,69,19
108,Montreal Canadiens,Olivier Archambault,CA,LW,18,,Val-d'Or Foreurs ,QMJHL,,,,,,,5′ 11,176,QMJHL,58,12,15,27,0.47,14,13,65,20,33,53,0.82,28,7
109,Chicago Blackhawks,Maxim Shalunov,RU,RW,18,,Belye Medvedi Chelyabinsk ,Russia Jr.,,,,,,,6′ 3,185,Russia-3,3,2,3,5,1.67,12,6,39,22,14,36,0.92,42,13
110,Los Angeles Kings,Michael Mersch,US,LW,18,2016,Wisconsin ,WCHA,17,1,2,3,1,0,6′ 2,198,USDP/NAHL,53,5,10,15,0.28,34,0,41,8,11,19,0.46,32,23
