,Round 1,,,,,,,NHL Scoring Stats,,,,,,,,,,,,,,,,,,,,,,,
Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-
194,San Jose Sharks,Colin Blackwell,US,C,18,2023,St. John's Prep ,High-MA,154,25,30,55,5,41,5′ 9,164,USHS-Prep,0,0,0,0,0.00,0,0,25,33,33,66,2.64,0,0
195,Dallas Stars,Jyrki Jokipakka,FI,D,20,2017,Ilves ,Finland,150,3,25,28,-2,34,6′ 3,191,Finland Jr.,38,3,12,15,0.39,77,20,48,1,8,9,0.19,18,5
196,Phoenix Coyotes,Zac Larraza,US,LW,18,,USA U-18 Development Team ,USDP/USHL,,,,,,,6′ 2,194,USDP/NAHL,51,8,10,18,0.35,58,0,57,9,9,18,0.32,26,0
197,Buffalo Sabres,Brad Navin,US,C,19,,Waupaca HS ,High-WI,,,,,,,6′ 2,183,UMHSEHL,18,2,3,5,0.28,6,0,14,29,23,52,3.71,40,0
198,Montreal Canadiens,Colin Sullivan,US,D,18,,Avon Old Farms School ,High-CT,,,,,,,6′ 1,196,USHS-Prep,29,1,8,9,0.31,16,0,27,3,12,15,0.56,14,0
199,Chicago Blackhawks,Alex Broadhurst,US,C,18,2018,Green Bay Gamblers ,USHL,2,0,0,0,0,2,5′ 10,150,T1EHL 18U,48,16,29,45,0.94,26,0,55,13,20,33,0.6,22,15
200,Los Angeles Kings,Michael Schumacher,SE,LW,18,,Frolunda HC Jr. ,Sweden Jr.,,,,,,,6′ 3,198,J18-Elit,20,15,6,21,1.05,6,0,22,4,3,7,0.32,28,0
201,Tampa Bay Lightning,Matthew Peca,CA,C,18,2022,Pembroke ,CHL T1,83,6,15,21,-15,6,5′ 8,155,CCHL,60,21,26,47,0.78,10,0,50,26,46,72,1.44,14,0
202,Nashville Predators,Brent Andrews,CA,LW,18,,Halifax Mooseheads ,QMJHL,,,,,,,6′ 2,200,QMJHL,64,7,9,16,0.25,33,14,68,12,17,29,0.43,33,22
203,Toronto Maple Leafs,Max Everson,US,D,18,,Edina HS ,High-MN,,,,,,,6′ 1,184,USHS-MN,21,2,8,10,0.48,10,0,22,4,17,21,0.95,20,0
204,Ottawa Senators,Ryan Dzingel,US,C,19,2022,Lincoln Stars ,USHL,404,87,101,188,-22,191,6′ 0,185,USHL,36,11,15,26,0.72,38,8,54,23,44,67,1.24,8,19
205,Detroit Red Wings,Alexei Marchenko,RU,D,19,2017,CSKA Moskva ,Russia,121,4,17,21,5,26,6′ 2,183,Russia-3,43,11,23,34,0.79,59,26,22,0,2,2,0.09,4,2
206,Philadelphia Flyers,Derek Mathers,CA,RW,18,,Peterborough Petes ,OHL,,,,,,,6′ 3,226,GOJHL,43,2,5,7,0.16,53,0,55,1,4,5,0.09,173,11
207,Washington Capitals,Garrett Haar,US,D,18,,Fargo Force ,USHL,,,,,,,5′ 11,190,T1EHL 18U,40,2,34,36,0.90,28,0,51,7,16,23,0.45,38,9
208,Tampa Bay Lightning,Ondrej Palat,CZ,LW,20,2023,Drummondville Voltigeurs ,QMJHL,634,146,280,426,146,197,6′ 0,174,QMJHL,59,17,23,40,0.68,24,33,61,39,57,96,1.57,24,37
209,Pittsburgh Penguins,Scott Wilson,CA,C/LW,19,2020,Georgetown ,OJHL,193,20,31,51,-27,58,5′ 11,166,OPJHL,56,24,43,67,1.20,28,0,42,20,41,61,1.45,59,0
210,Vancouver Canucks,Henrik Tommernes,SE,D,21,,Frolunda HC ,Sweden,,,,,,,6′ 1,176,Sweden,27,0,3,3,0.11,10,5,47,3,17,20,0.43,24,17
