,Round 1,,,,,,,,NHL Scoring Stats,,,,,,,,,,,,,,,,,,,,,,
Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-
32,Edmonton Oilers,Mitchell Moroz,CA,LW,18,,Edmonton Oil Kings ,WHL,,,,,,,6′ 1,208,AMHL,22,10,4,14,0.64,34,0,66,16,9,25,0.38,131,5
33,Montreal Canadiens,Sebastian Collberg,SE,RW,18,,Frolunda HC ,Sweden,,,,,,,5′ 11,180,Sweden Jr.,35,21,23,44,1.26,12,0,41,0,0,0,0.00,2,8
34,New York Islanders,Ville Pokka,FI,D,18,,Karpat ,Finland,,,,,,,5′ 11,205,Finland Jr.,32,6,15,21,0.66,16,4,35,0,3,3,0.09,12,3
35,Toronto Maple Leafs,Matt Finn,CA,D,18,,Guelph Storm ,OHL,,,,,,,6′ 0,199,OHL,60,3,18,21,0.35,23,0,61,10,38,48,0.79,58,13
36,Anaheim Ducks,Nicolas Kerdiles,US,LW,18,2018,USA U-18 Development Team ,USDP/USHL,3,0,0,0,1,0,6′ 1,191,USDP/NAHL,60,20,17,37,0.62,66,0,54,22,26,48,0.89,38,0
37,Nashville Predators,Pontus Aberg,SE,LW,18,2020,Djurgardens IF ,Sweden,132,17,27,44,-7,34,5′ 11,189,Sweden Jr.,41,13,17,30,0.73,16,0,47,8,7,15,0.32,6,3
38,Carolina Hurricanes,Phillip Di Giuseppe,CA,LW,18,2021,Michigan ,CCHA,201,16,37,53,-12,73,5′ 11,197,OPJHL,49,24,39,63,1.29,25,0,40,11,15,26,0.65,18,23
39,Winnipeg Jets,Lukas Sutter,US,C,18,,Saskatoon Blades ,WHL,,,,,,,6′ 0,215,WHL,71,4,15,19,0.27,179,1,70,28,31,59,0.84,165,15
40,Tampa Bay Lightning,Dylan Blujus,US,D,18,,Brampton Battalion ,OHL,,,,,,,6′ 2,191,OHL,67,4,22,26,0.39,26,14,66,7,27,34,0.52,38,4
41,Colorado Avalanche,Mitchell Heard,CA,C,20,,Plymouth Whalers ,OHL,,,,,,,6′ 0,188,OHL,66,19,29,48,0.73,67,4,57,29,28,57,1.00,111,6
42,Calgary Flames,Patrick Sieloff,US,D,18,2018,USA U-18 Development Team ,USDP/USHL,2,2,0,2,-1,2,6′ 0,192,USDP/NAHL,53,3,6,9,0.17,76,0,60,3,7,10,0.17,113,0
43,Dallas Stars,Ludwig Bystrom,SE,D,18,,MODO Hockey Jr. ,Sweden Jr.,,,,,,,6′ 0,169,Sweden Jr.,37,1,10,11,0.30,28,0,34,7,22,29,0.85,101,2
44,Buffalo Sabres,Jake McCabe,US,D,18,2023,Wisconsin ,WCHA,444,23,81,104,-53,244,6′ 0,203,USDP/NAHL,46,4,12,16,0.35,14,0,26,3,9,12,0.46,12,3
46,Minnesota Wild,Raphael Bussieres,CA,LW,18,,Baie-Comeau Drakkar ,QMJHL,,,,,,,6′ 1,195,QMJHL,66,17,22,39,0.59,39,31,56,21,23,44,0.79,60,2
47,Carolina Hurricanes,Brock McGinn,CA,LW,18,2023,Guelph Storm ,OHL,429,69,68,137,-25,97,5′ 11,174,OHL,68,10,4,14,0.21,38,3,33,12,7,19,0.58,25,2
48,Chicago Blackhawks,Dillon Fournier,CA,D,18,,Rouyn-Noranda Huskies ,QMJHL,,,,,,,6′ 1,173,QMJHL,60,3,11,14,0.23,38,9,52,9,29,38,0.73,59,8
49,Detroit Red Wings,Martin Frk,CZ,RW,18,2022,Halifax Mooseheads ,QMJHL,124,20,21,41,-32,24,6′ 0,193,QMJHL,62,22,28,50,0.81,75,14,34,16,13,29,0.85,41,9
50,Nashville Predators,Colton Sissons,CA,C,18,2023,Kelowna Rockets ,WHL,475,62,78,140,39,163,6′ 0,187,WHL,63,17,24,41,0.65,46,15,58,26,15,41,0.71,62,14
51,Montreal Canadiens,Dalton Thrower,CA,D,18,,Saskatoon Blades ,WHL,,,,,,,5′ 11,200,WHL,68,6,14,20,0.29,91,14,66,18,36,54,0.82,103,4
52,Pittsburgh Penguins,Teddy Blueger,LV,C,18,2023,Shattuck-St. Mary's School ,High-MN,210,31,52,83,30,76,6′ 0,171,USHS-Prep,54,24,42,66,1.22,32,0,51,24,64,88,1.73,63,0
53,Tampa Bay Lightning,Brian Hart,US,RW,18,,Phillps-Exeter Academy ,High-NH,,,,,,,6′ 2,203,USHS-Prep,27,29,32,61,2.26,12,0,29,32,36,68,2.34,20,0
54,Dallas Stars,Mike Winther,CA,C,18,,Prince Albert Raiders ,WHL,,,,,,,6′ 0,172,WHL,61,9,1,10,0.16,18,11,71,32,24,56,0.79,59,9
55,San Jose Sharks,Chris Tierney,CA,C,18,2022,London Knights ,OHL,561,73,153,226,-65,108,6′ 0,181,OHL,47,3,8,11,0.23,12,10,65,11,23,34,0.52,20,25
56,St. Louis Blues,Sam Kurker,US,RW,18,,St. John's Prep ,High-MA,,,,,,,6′ 2,201,USHS-Prep,25,20,17,37,1.48,24,0,24,32,28,60,2.50,23,0
57,Vancouver Canucks,Alexandre Mallet,CA,LW,20,,Rimouski Oceanic ,QMJHL,,,,,,,6′ 1,195,QMJHL,60,10,9,19,0.32,86,1,68,34,47,81,1.19,132,23
58,Phoenix Coyotes,Jordan Martinook,CA,LW,20,2023,Vancouver Giants ,WHL,497,57,83,140,-41,226,5′ 11,202,WHL,72,11,17,28,0.39,67,1,72,40,24,64,0.89,80,15
59,New York Rangers,Cristoval Nieves,US,C,18,2020,Kent School ,High-CT,76,5,14,19,3,24,6′ 2,192,USHS-Prep,22,11,28,39,1.77,6,0,26,7,32,39,1.50,2,0
60,New Jersey Devils,Damon Severson,CA,D,18,2023,Kelowna Rockets ,WHL,586,53,182,235,-132,362,6′ 1,190,WHL,64,4,13,17,0.27,53,11,56,7,30,37,0.66,80,5
61,Dallas Stars,Devin Shore,CA,C,18,2023,Whitby ,OJHL,391,49,78,127,-61,65,6′ 0,185,CAHS,61,33,62,95,1.56,18,72,41,29,29,58,1.41,26,0
63,Edmonton Oilers,Jujhar Khaira,CA,LW,18,2023,Prince George ,BCHL,301,29,40,69,-45,211,6′ 2,198,BCHL,58,10,32,42,0.72,21,0,54,29,50,79,1.46,69,0
64,Montreal Canadiens,Tim Bozon,US,LW,18,,Kamloops Blazers ,WHL,,,,,,,6′ 0,183,U20-Elit,30,17,13,30,1.00,24,0,71,36,35,71,1.00,40,27
65,New York Islanders,Adam Pelech,CA,D,18,2023,Erie Otters ,OHL,402,21,91,112,71,154,6′ 2,194,OHL,65,1,12,13,0.20,27,14,44,2,18,20,0.45,52,20
66,Nashville Predators,Jimmy Vesey,US,LW,19,2023,South Shore ,EJHL,442,74,68,142,-58,106,6′ 1,194,USHS-Prep,32,23,12,35,1.09,30,0,45,48,43,91,2.02,52,0
