,Round 1,,,,,,,,NHL Scoring Stats,,,,,,,,,,,,,,,,,,,,,,
Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-
143,Pittsburgh Penguins,Clark Seymour,CA,D,19,,Peterborough Petes ,OHL,,,,,,,6′ 3,205,OHL,58,3,4,7,0.12,59,11,47,0,8,8,0.17,96,4
145,Boston Bruins,Cody Payne,GB,RW,18,,Plymouth Whalers ,OHL,,,,,,,6′ 2,201,OHL,50,1,12,13,0.26,35,7,60,5,11,16,0.27,107,2
147,Vancouver Canucks,Ben Hutton,CA,D,19,2023,Nepean ,CCHL,438,19,85,104,-77,168,6′ 2,183,CCHL,61,8,27,35,0.57,28,0,57,11,32,43,0.75,31,0
148,Phoenix Coyotes,Niklas Tikkinen,FI,D,18,,Blues Jr. ,Finland Jr.,,,,,,,5′ 11,172,U18-SM Sarja,26,4,15,19,0.73,6,0,39,8,15,23,0.59,14,1
149,Chicago Blackhawks,Travis Brown,CA,D,18,,Moose Jaw Warriors ,WHL,,,,,,,6′ 1,179,MMHL,42,6,24,30,0.71,33,0,66,7,24,31,0.47,45,19
150,New Jersey Devils,Alexander Kerfoot,CA,C,18,2023,Coquitlam ,BCHL,381,65,129,194,6,138,5′ 9,153,BCEHL U18,38,36,72,108,2.84,58,0,51,25,44,69,1.35,24,0
151,Los Angeles Kings,Colin Miller,CA,D,19,2023,Soo Greyhounds ,OHL,406,30,111,141,-21,280,6′ 0,175,OHL,66,3,19,22,0.33,44,2,54,8,20,28,0.52,79,9
152,Columbus Blue Jackets,Daniel Zaar,SE,RW,18,,Rogle BK Jr. ,Sweden Jr.,,,,,,,5′ 11,167,Sweden Jr.,26,3,3,6,0.23,14,0,44,14,24,38,0.86,28,6
153,Edmonton Oilers,John McCarron,US,RW,20,,Cornell ,ECAC,,,,,,,6′ 2,219,USHL,60,24,33,57,0.95,113,11,35,6,13,19,0.54,61,1
154,Montreal Canadiens,Erik Nystrom,SE,LW,18,,MODO Hockey Jr. ,Sweden Jr.,,,,,,,5′ 11,176,Sweden Jr.,39,6,13,19,0.49,8,1,32,9,19,28,0.88,16,1
155,New York Islanders,Jesse Graham,CA,D,18,,Niagara IceDogs ,OHL,,,,,,,5′ 11,170,OHL,63,1,17,18,0.29,22,27,68,4,37,41,0.60,36,25
156,Toronto Maple Leafs,Connor Brown,CA,RW,18,2023,Erie Otters ,OHL,448,90,126,216,-11,90,5′ 10,160,OPJHL,49,17,22,39,0.80,18,0,68,25,28,53,0.78,14,72
157,Toronto Maple Leafs,Ryan Rupert,CA,C,18,,London Knights ,OHL,,,,,,,5′ 8,186,OHL,39,9,18,27,0.69,30,2,63,17,31,48,0.76,120,10
158,Minnesota Wild,Christoph Bertschy,CH,C,18,2018,SC Bern ,Swiss,9,0,1,1,1,8,5′ 10,170,U20-Elit,36,16,16,32,0.89,34,0,31,8,8,16,0.52,8,6
160,Winnipeg Jets,Ryan Olsen,CA,C,18,,Saskatoon Blades ,WHL,,,,,,,6′ 1,187,WHL,63,7,7,14,0.22,39,11,67,15,17,32,0.48,64,12
161,Tampa Bay Lightning,Jake Dotchin,CA,D,18,2019,Owen Sound Attack ,OHL,103,3,20,23,23,112,6′ 2,207,GOJHL,41,5,10,15,0.37,88,0,64,3,16,19,0.30,77,2
162,Colorado Avalanche,Joseph Blandisi,CA,C/RW,18,2020,Owen Sound Attack ,OHL,101,10,21,31,-26,78,5′ 10,182,GTHL U18,41,51,41,92,2.24,40,0,68,17,14,31,0.46,72,4
164,Nashville Predators,Simon Fernholm,SE,D,18,,Huddinge IK Jr. ,Sweden Jr.,,,,,,,6′ 4,187,J18-Elit,18,0,5,5,0.28,8,0,47,3,12,15,0.32,12,1
165,Calgary Flames,Coda Gordon,CA,LW,18,,Swift Current Broncos ,WHL,,,,,,,6′ 0,176,MPHL,13,8,10,18,1.38,6,0,66,30,23,53,0.80,12,2
167,Washington Capitals,Riley Barber,US,RW,18,2022,USA U-18 Development Team ,USDP/USHL,16,0,0,0,-3,4,5′ 11,194,USHL,57,14,14,28,0.49,48,14,60,21,15,36,0.60,85,0
168,San Jose Sharks,Clifford Watson,US,D,18,,Sioux City Musketeers ,USHL,,,,,,,6′ 1,188,USHS-WI,21,18,22,40,1.90,44,12,58,0,8,8,0.14,53,13
169,Chicago Blackhawks,Vincent Hinostroza,US,C,18,2023,Waterloo Black Hawks ,USHL,347,51,94,145,-12,97,5′ 9,158,USHL,50,8,14,22,0.44,36,1,55,20,24,44,0.80,56,11
170,Detroit Red Wings,James De Haas,CA,D,18,,Toronto ,OJHL,,,,,,,6′ 2,197,GTHL U18,70,12,18,30,0.43,40,0,45,10,19,29,0.64,32,0
171,Los Angeles Kings,Tomas Hyka,CZ,RW,19,2019,Gatineau Olympiques ,QMJHL,27,2,5,7,0,2,5′ 10,160,Czech U20,38,14,17,31,0.82,10,7,50,20,44,64,1.28,30,14
172,Nashville Predators,Max Gortz,SE,RW,19,,Farjestad BK Jr. ,Sweden Jr.,,,,,,,6′ 2,196,Sweden Jr.,40,9,9,18,0.45,14,0,28,17,18,35,1.25,6,11
173,Pittsburgh Penguins,Anton Zlobin,RU,RW,19,,Shawinigan Cataractes ,QMJHL,,,,,,,5′ 11,195,QMJHL,59,23,22,45,0.76,28,10,66,40,36,76,1.15,50,42
174,Florida Panthers,Francis Beauvillier,CA,C/LW,18,,Rimouski Oceanic ,QMJHL,,,,,,,6′ 1,181,QMJHL,57,11,14,25,0.44,39,12,67,23,11,34,0.51,75,11
175,Boston Bruins,Matthew Benning,CA,D,18,2023,Spruce Grove ,AJHL,388,17,66,83,2,209,6′ 0,218,AJHL,43,0,7,7,0.16,65,0,44,4,14,18,0.41,87,0
176,St. Louis Blues,Petteri Lindbohm,FI,D,18,2022,Jokerit Jr. ,Finland Jr.,49,2,2,4,-9,42,6′ 3,209,Finland Jr.,41,1,8,9,0.22,56,14,41,3,7,10,0.24,98,15
177,Vancouver Canucks,Wesley Myron,CA,LW,20,,Victoria ,BCHL,,,,,,,6′ 1,182,BCHL,59,20,21,41,0.69,21,0,26,17,25,42,1.62,18,0
178,Phoenix Coyotes,Hunter Fejes,US,LW,18,,Shattuck-St. Mary's School ,High-MN,,,,,,,6′ 1,190,USHS-Prep,49,14,14,28,0.57,12,0,55,38,40,78,1.42,20,0
180,New Jersey Devils,Artur Gavrus,BY,C/LW,18,,Owen Sound Attack ,OHL,,,,,,,5′ 9,175,Belarus,19,4,4,8,0.42,18,0,45,15,22,37,0.82,18,3
181,Los Angeles Kings,Paul Ladue,US,D,20,2022,Lincoln Stars ,USHL,70,5,13,18,-2,22,6′ 1,186,USDP/NAHL,56,3,19,22,0.39,58,18,56,9,25,34,0.61,27,36
182,Columbus Blue Jackets,Gianluca Curcuruto,CA,D,18,,Soo Greyhounds ,OHL,,,,,,,6′ 0,195,OHL,56,1,25,26,0.46,26,1,63,3,13,16,0.25,36,14
183,Dallas Stars,Dmitry Sinitsyn,RU,D,18,,Massachusetts-Lowell ,H-East,,,,,,,6′ 2,200,T1EHL 16U,36,11,20,31,0.86,18,0,0,0,0,0,#DIV/0!,0,0
185,New York Islanders,Jake Bischoff,US,D,18,2020,Grand Rapids HS ,High-MN,4,0,0,0,-2,4,5′ 11,178,USHS-MN,24,5,18,23,0.96,12,0,24,11,27,38,1.58,17,0
186,Calgary Flames,Matthew Deblouw,US,C,18,,Muskegon Lumberjacks ,USHL,,,,,,,6′ 0,179,USHL,33,2,4,6,0.18,51,13,58,11,22,33,0.57,50,18
187,Anaheim Ducks,Kenton Helgesen,CA,D,18,,Calgary Hitmen ,WHL,,,,,,,6′ 3,179,AJHL,42,1,5,6,0.14,39,0,58,3,11,14,0.24,63,7
188,Minnesota Wild,Louis Nanne,US,LW,18,,Edina HS ,High-MN,,,,,,,5′ 10,178,USHS-MN,21,11,12,23,1.10,10,0,24,12,8,20,0.83,30,0
189,Carolina Hurricanes,Brendan Collier,US,LW,18,,Malden Catholic HS ,High-MA,,,,,,,5′ 9,168,USHS-Prep,25,30,45,75,3.00,0,0,22,27,37,64,2.91,0,0
192,Colorado Avalanche,Colin Smith,CA,C,19,2015,Kamloops Blazers ,WHL,1,0,0,0,0,0,5′ 10,162,WHL,72,21,29,50,0.69,61,21,72,35,50,85,1.18,51,31
193,Buffalo Sabres,Brady Austin,CA,D,19,2017,Belleville Bulls ,OHL,5,0,0,0,0,4,6′ 3,234,OHL,59,1,12,13,0.22,47,10,68,6,20,26,0.38,59,1
194,Florida Panthers,Jonatan Nielsen,SE,D,19,,Linkoping HC Jr. ,Sweden Jr.,,,,,,,6′ 3,183,Sweden Jr.,29,2,1,3,0.10,6,0,38,5,4,9,0.24,24,9
195,Washington Capitals,Christian Djoos,SE,D,18,2021,Brynas IF Jr. ,Sweden Jr.,155,7,31,38,12,28,5′ 11,158,J18-Elit,21,7,20,27,1.29,22,0,40,3,21,24,0.60,22,11
196,Ottawa Senators,Mikael Wikstrand,SE,D,18,,Mora IK ,Sweden-2,,,,,,,6′ 1,183,Sweden Jr.,16,3,5,8,0.50,6,0,47,2,1,3,0.06,14,8
197,Washington Capitals,Jaynen Rissling,CA,D,18,,Calgary Hitmen ,WHL,,,,,,,6′ 4,223,WHL,67,5,16,21,0.31,95,27,55,5,18,23,0.42,124,9
198,San Jose Sharks,Joakim Ryan,US,D,19,2021,Cornell ,ECAC,145,4,20,24,1,33,5′ 10,182,USHL,53,3,29,32,0.60,26,3,34,7,10,17,0.50,20,2
200,Detroit Red Wings,Rasmus Bodin,SE,LW,18,,Ostersunds IK ,Sweden-3,,,,,,,6′ 6,207,J18-Elit,29,5,3,8,0.28,60,0,20,3,7,10,0.50,18,7
201,Philadelphia Flyers,Valeri Vasiliev,RU,D,18,,MHK Spartak Moskva ,Russia Jr.,,,,,,,6′ 1,203,N/A,0,0,0,0,0.00,0,0,18,1,1,2,0.11,24,4
202,Tampa Bay Lightning,Nikita Gusev,RU,LW,20,2021,Krasnaya Armiya Moskva ,Russia Jr.,97,17,37,54,-27,14,5′ 9,163,Russia-3,38,22,37,59,1.55,14,35,34,30,46,76,2.24,26,23
204,Buffalo Sabres,Judd Peterson,US,C/RW,18,,Duluth Marshall HS ,High-MN,,,,,,,5′ 11,194,USHS-MN,27,25,21,46,1.70,40,0,30,47,36,83,2.77,32,0
205,Boston Bruins,Colton Hargrove,US,LW,20,,Fargo Force ,USHL,,,,,,,6′ 1,215,USHL,56,13,14,27,0.48,109,9,54,16,22,38,0.70,140,1
206,St. Louis Blues,Tyrel Seaman,CA,C,18,,Brandon Wheat Kings ,WHL,,,,,,,6′ 2,196,WHL,52,3,5,8,0.15,28,10,32,6,13,19,0.59,23,10
207,Vancouver Canucks,Matthew Beattie,US,LW,19,,Phillps-Exeter Academy ,High-NH,,,,,,,6′ 3,173,MJHL,31,22,20,42,1.35,30,0,28,39,35,74,2.64,18,0
208,Phoenix Coyotes,Justin Hache,CA,D,18,,Shawinigan Cataractes ,QMJHL,,,,,,,6′ 1,188,QMJHL,37,3,12,15,0.41,17,9,60,2,16,18,0.30,46,27
209,Toronto Maple Leafs,Viktor Loov,SE,D,19,2016,Sodertalje SK ,Sweden-2,4,0,2,2,4,0,6′ 1,187,Sweden Jr.,42,4,19,23,0.55,36,0,50,3,3,6,0.12,42,8
210,Anaheim Ducks,Jaycob Megna,US,D,19,2023,Nebraska-Omaha ,WCHA,107,3,17,20,-4,36,6′ 4,202,USHL,55,1,17,18,0.33,24,11,35,2,3,5,0.14,8,1
