Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-
73,Montreal Canadiens,Yannick Weber,CH,D,18,2021,Kitchener Rangers ,OHL,499,28,66,94,-28,195,5′ 11,193,NLB,28,3,0,3,0.11,8,0,,,,,,,
74,Toronto Maple Leafs,Dale Mitchell,CA,RW,18,,Oshawa Generals ,OHL,,,,,,,5′ 9,200,OHL,65,20,23,43,0.66,63,-1,,,,,,,
75,Tampa Bay Lightning,Luca Cunti,CH,C,18,,GCK Lions Jr. ,Sweden Jr.,,,,,,,6′ 0,190,U20-Elit,46,20,24,44,0.96,34,0,,,,,,,
76,New York Islanders,Jason Gregoire,CA,LW,18,,Lincoln Stars ,USHL,,,,,,,6′ 1,196,MJHL,57,22,28,50,0.88,46,0,,,,,,,
77,Tampa Bay Lightning,Alex Killorn,CA,C,18,2023,Deerfield Academy ,High-MA,742,177,240,417,85,440,6′ 0,161,QMAAA,43,18,34,52,1.21,94,0,,,,,,,
78,Pittsburgh Penguins,Robert Bortuzzo,CA,D,18,2023,Kitchener Rangers ,OHL,500,18,51,69,30,464,6′ 3,196,PIJHL,40,4,19,23,0.58,137,0,,,,,,,
79,New Jersey Devils,Nick Palmieri,US,RW,18,2012,Erie Otters ,OHL,87,13,12,25,-1,20,6′ 3,220,OHL,68,13,10,23,0.34,79,-7,,,,,,,
80,Pittsburgh Penguins,Casey Pierro-Zabotel,CA,C,18,,Merritt ,BCHL,,,,,,,6′ 1,205,BCHL,60,20,35,55,0.92,29,0,55,51,65,116,2.11,42,-
81,Nashville Predators,Ryan Thang,US,LW,20,2012,Notre Dame ,CCHA,1,0,0,0,0,0,5′ 11,189,USHL,57,23,29,52,0.91,78,34,42,20,21,41,0.98,22,22
82,Los Angeles Kings,Bryan Cameron,CA,RW,18,,Belleville Bulls ,OHL,,,,,,,5′ 11,186,OHL,64,20,9,29,0.45,46,-14,,,,,,,
84,Washington Capitals,Phil Desimone,US,C,20,,Sioux City Musketeers ,USHL,,,,,,,6′ 0,193,USHL,60,15,38,53,0.88,71,-7,,,,,,,
85,St. Louis Blues,Brett Sonne,CA,C/LW,18,,Calgary Hitmen ,WHL,,,,,,,6′ 0,201,WHL,64,12,9,21,0.33,38,6,,,,,,,
87,New Jersey Devils,Corbin McPherson,US,D,19,,Cowichan Valley ,BCHL,,,,,,,6′ 4,210,N/A,0,0,0,0,0,0,0,44,4,10,14,0.32,63,-
88,Detroit Red Wings,Joakim Andersson,SE,C,18,2016,Frolunda HC Jr. ,Sweden Jr.,205,15,21,36,-11,48,6′ 2,198,Sweden Jr.,35,9,11,20,0.57,10,18,,,,,,,
89,Buffalo Sabres,Corey Tropp,US,RW,18,2017,Sioux Falls Stampede ,USHL,149,6,21,27,-12,133,6′ 0,183,USHL,45,7,8,15,0.33,19,7,,,,,,,
90,Ottawa Senators,Louie Caporusso,CA,C/LW,18,,St. Michael's ,OPJHL,,,,,,,5′ 9,185,OPJHL,48,29,44,73,1.52,44,0,,,,,,,
92,Anaheim Ducks,Justin Vaive,US,LW,18,,USA U-18 Development Team ,USDP/NAHL,,,,,,,6′ 5,210,USDP/NAHL,18,4,6,10,0.56,24,0,,,,,,,
93,Anaheim Ducks,Steven Kampfer,US,D,18,2021,Michigan ,CCHA,231,15,24,39,-1,110,5′ 11,197,USHL,56,6,10,16,0.29,99,1,35,1,3,4,0.11,24,3
94,Columbus Blue Jackets,Maksim Mayorov,RU,LW,18,2012,Neftyanik Leninogorsk ,Russia-2,22,2,1,3,-4,2,6′ 2,187,Russia-3,16,11,4,15,0.94,4,0,,,,,,,
95,Los Angeles Kings,Alec Martinez,US,D,20,2023,Miami ,Ohio ,707,76,174,250,71,215,6′ 0,205,NCAA,39,3,8,11,0.28,31,12,,,,,,,
96,St. Louis Blues,Cade Fairchild,US,D,18,2012,USA U-18 Development Team ,USDP/NAHL,5,0,1,1,-1,0,5′ 11,190,USDP/NAHL,32,2,7,9,0.28,6,0,,,,,,,
97,Edmonton Oilers,Linus Omark,SE,LW,20,2014,Lulea HF ,Sweden,79,8,24,32,-27,40,5′ 10,174,Sweden Jr.,32,22,21,43,1.34,56,19,,,,,,,
99,Toronto Maple Leafs,Matt Frattin,CA,RW,19,2015,Fort Saskatchewan ,AJHL,135,17,18,35,-3,44,5′ 11,187,AMHL,34,20,17,37,1.09,48,0,58,49,34,83,,75,-
100,St. Louis Blues,Travis Erstad,US,C/RW,18,,Lincoln Stars ,USHL,,,,,,,6′ 4,199,N/A,0,0,0,0,0,0,0,,,,,,,
101,Florida Panthers,Matt Rust,US,C,18,,USA U-18 Development Team ,USDP/NAHL,,,,,,,5′ 10,192,USDP/NAHL,32,7,5,12,0.38,22,0,,,,,,,
102,Carolina Hurricanes,Justin McCrae,CA,C,18,,Saskatoon Blades ,WHL,,,,,,,6′ 1,185,WHL,71,17,24,41,0.58,58,-9,,,,,,,
103,Phoenix Coyotes,Vladimir Ruzicka,CZ,C,18,,HC Slavia Praha Jr. ,Czech Jr.,,,,,,,6′ 1,196,Czech Jr.,37,15,26,41,1.11,42,10,,,,,,,
104,Toronto Maple Leafs,Ben Winnett,CA,LW,18,,Salmon Arm ,BCHL,,,,,,,6′ 0,173,BCHL,60,18,31,49,0.82,31,0,39,27,30,57,1.46,58,-
105,Colorado Avalanche,Brad Malone,CA,C/LW,18,2023,Sioux Falls Stampede ,USHL,210,14,18,32,-32,202,6′ 2,207,High-CT,36,9,33,42,1.17,0,0,,,,,,,
106,New York Islanders,Maxim Gratchev,RU,LW,18,,Rimouski Oceanic ,QMJHL,,,,,,,5′ 11,196,QMJHL,55,11,16,27,0.49,97,-26,,,,,,,
107,Tampa Bay Lightning,Mitch Fadden,CA,C,19,,Lethbridge Hurricanes ,WHL,,,,,,,6′ 0,193,WHL,68,20,28,48,0.71,41,-3,,,,,,,
108,Washington Capitals,Brett Bruneteau,US,C,18,,Omaha Lancers ,USHL,,,,,,,5′ 11,183,USHL,54,7,12,19,0.35,31,-5,,,,,,,
109,Los Angeles Kings,Dwight King,CA,LW,18,2017,Lethbridge Hurricanes ,WHL,365,53,56,109,3,98,6′ 3,227,WHL,68,8,8,16,0.24,22,-16,,,,,,,
110,Minnesota Wild,Justin Falk,CA,D,18,2019,Spokane Chiefs ,WHL,279,3,30,33,-63,219,6′ 5,215,WHL,53,0,10,10,0.19,35,3,,,,,,,
111,Pittsburgh Penguins,Luca Caputi,CA,LW,18,2011,Mississagua IceDogs ,OHL,35,3,6,9,-4,20,6′ 3,200,OHL,32,3,0,3,0.09,43,-18,,,,,,,
112,Dallas Stars,Colton Sceviour,CA,C/RW,18,2022,Portland Winter Hawks ,WHL,535,66,90,156,-14,136,6′ 0,201,WHL,58,3,6,9,0.16,25,-19,,,,,,,
114,Nashville Predators,Ben Ryan,US,C,18,,Des Moines Buccaneers ,USHL,,,,,,,5′ 11,190,USHL,60,14,23,37,0.62,38,-12,,,,,,,
115,Atlanta Thrashers,Niclas Lucenius,FI,C,18,,Tappara ,Finland,,,,,,,6′ 0,189,Finland Jr.,23,5,4,9,0.39,18,6,,,,,,,
116,Calgary Flames,Keith Aulie,CA,D,18,2015,Brandon Wheat Kings ,WHL,167,4,10,14,-13,196,6′ 6,208,WHL,38,0,2,2,0.05,32,-7,,,,,,,
117,New Jersey Devils,Matt Halischuk,CA,RW,19,2016,Kitchener Rangers ,OHL,280,33,42,75,13,57,5′ 11,185,OHL,61,13,18,31,0.51,16,-2,,,,,,,
118,Pittsburgh Penguins,Alex Grant,CA,D,18,2016,Saint John Sea Dogs ,QMJHL,7,2,0,2,1,9,6′ 2,185,QMJHL,47,4,9,13,0.28,58,-33,,,,,,,
119,Nashville Predators,Mark Santorelli,CA,C,19,,Chilliwack Bruins ,WHL,,,,,,,6′ 1,188,BCHL,59,17,38,55,0.93,27,0,,,,,,,
120,Ottawa Senators,Ben Blood,US,D,18,,Shattuck-St. Mary's School ,High-MN,,,,,,,6′ 3,212,High-MN,73,3,22,25,0.34,32,0,,,,,,,
122,Philadelphia Flyers,Mario Kempe,SE,C,18,2019,St. John's Fog Devils ,QMJHL,70,6,7,13,4,22,6′ 0,179,Sweden Jr.,36,20,12,32,0.89,26,0,,,,,,,
123,Phoenix Coyotes,Maxim Goncharov,RU,D,18,,CSKA Moskva ,Russia,,,,,,,6′ 0,176,Russia-3,31,2,0,2,0.06,10,0,,,,,,,
125,Washington Capitals,Brett Leffler,CA,RW,18,,Regina Pats ,WHL,,,,,,,6′ 1,198,WHL,42,2,7,9,0.21,54,6,,,,,,,
126,Chicago Blackhawks,Joe Lavin,US,D,18,,USA National Jr. Team ,USDP/NAHL,,,,,,,6′ 1,199,USDP/NAHL,31,5,3,8,0.26,34,0,,,,,,,
127,Edmonton Oilers,Milan Kytnar,SK,C,18,2012,HC Topolcany ,Slovakia-2,1,0,0,0,0,0,6′ 0,190,Slovakia Jr.,30,18,23,41,1.37,106,0,,,,,,,
128,Dallas Stars,Austin Smith,US,RW,18,,The Gunnery ,High-CT,,,,,,,5′ 11,160,High-CT,34,23,19,42,1.24,0,0,,,,,,,
129,Dallas Stars,Jamie Benn,CA,LW,18,2023,Victoria ,BCHL,968,338,453,791,53,750,6′ 2,208,VIJHL,38,31,24,55,1.45,92,0,53,42,23,65,1.23,78,-
131,Florida Panthers,John Lee,US,D,18,,Waterloo Black Hawks ,USHL,,,,,,,6′ 2,173,High-MN,26,6,21,27,1.04,51,0,,,,,,,
132,Carolina Hurricanes,Chris Terry,CA,LW,18,2017,Plymouth Whalers ,OHL,152,22,16,38,-21,34,5′ 10,190,OHL,64,9,19,28,0.44,72,4,,,,,,,
133,Montreal Canadiens,Joe Stejskal,US,D,19,,Grand Rapids HS ,High-MN,,,,,,,6′ 2,186,High-MN,0,0,0,0,0,0,0,,,,,,,
134,Toronto Maple Leafs,Juraj Mikus,SK,D,18,,HK Dukla Trencin ,Slovakia,,,,,,,6′ 4,185,Slovakia Jr.,40,3,18,21,0.53,36,0,,,,,,,
135,Colorado Avalanche,Paul Carey,US,C,18,2020,Salisbury School ,High-CT,100,8,8,16,-12,20,6′ 0,175,High-CT,27,14,11,25,0.93,18,0,,,,,,,
