Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-
173,San Jose Sharks,Nick Bonino,US,C,19,2023,Avon Old Farms School ,High-CT,780,148,187,335,39,223,6′ 1,180,High-CT,25,26,30,56,2.24,10,0,,,,,,,
174,Nashville Predators,Robert Dietrich,DE,D,21,,DEG Metro Stars ,DEL,,,,,,,5′ 10,178,DEL2,46,5,3,8,0.17,55,0,,,,,,,
175,Atlanta Thrashers,John Albert,US,C,18,2014,USA U-18 Development Team ,USDP/NAHL,9,1,0,1,-3,0,5′ 9,180,USDP/NAHL,19,8,15,23,1.21,25,0,,,,,,,
176,Vancouver Canucks,Taylor Matson,US,C,18,,Des Moines Buccaneers ,USHL,,,,,,,5′ 10,165,High-MN,27,28,40,68,2.52,0,0,,,,,,,
177,New Jersey Devils,Vili Sopanen,FI,RW,19,,Pelicans ,Finland,,,,,,,6′ 4,209,Finland Jr.,37,14,17,31,0.84,22,1,,,,,,,
178,Detroit Red Wings,Zack Torquato,CA,C,18,,Erie Otters ,OHL,,,,,,,6′ 0,195,OHL,65,19,18,37,0.57,56,4,,,,,,,
179,Buffalo Sabres,Paul Byron,CA,C,18,2022,Gatineau Olympiques ,QMJHL,521,98,110,208,31,139,5′ 9,144,OJHL,33,20,23,43,1.3,33,0,,,,,,,
180,Washington Capitals,Justin Taylor,CA,C,18,,London Knights ,OHL,,,,,,,5′ 11,180,OPJHL,48,18,13,31,0.65,12,0,,,,,,,
181,Florida Panthers,Corey Syvret,CA,D,18,,Guelph Storm ,OHL,,,,,,,6′ 2,193,OHL,59,0,5,5,0.08,35,6,,,,,,,
184,Los Angeles Kings,Josh Kidd,CA,D,18,,Erie Otters ,OHL,,,,,,,6′ 4,219,OHL,68,4,6,10,0.15,53,5,,,,,,,
185,Washington Capitals,Nick Larson,US,C,18,,Omaha Lancers ,USHL,,,,,,,6′ 1,175,High-MN,28,41,38,79,2.82,0,0,,,,,,,
186,Calgary Flames,C.J. Severyn,US,LW,18,,USA U-18 Development Team ,USDP/NAHL,,,,,,,6′ 0,185,USDP/NAHL,31,3,3,6,0.19,52,0,,,,,,,
188,Los Angeles Kings,Matt Fillier,CA,C,18,,St. John's Fog Devils ,QMJHL,,,,,,,6′ 0,185,QMJHL,59,7,12,19,0.32,75,4,,,,,,,
189,Boston Bruins,Jordan Knackstedt,CA,RW,18,,Moose Jaw Warriors ,WHL,,,,,,,6′ 2,195,WHL,72,12,28,40,0.56,36,2,,,,,,,
190,St. Louis Blues,Trevor Nill,US,C,18,,Compuware ,T1EHL 18U,,,,,,,6′ 3,195,T1EHL 18U,21,4,9,13,0.62,20,0,,,,,,,
191,Florida Panthers,Ryan Watson,CA,LW,19,,Cambridge ,MWJHL,,,,,,,6′ 1,175,MJHL,46,7,19,26,0.57,58,0,,,,,,,
192,Montreal Canadiens,Scott Kishel,US,D,18,,Virginia HS ,High-MN,,,,,,,5′ 11,170,High-MN,0,0,0,0,0,0,0,,,,,,,
193,New York Rangers,David Skokan,SK,C,18,,Rimouski Oceanic ,QMJHL,,,,,,,6′ 0,185,QMJHL,53,6,15,21,0.4,143,35,,,,,,,
194,Toronto Maple Leafs,Carl Gunnarsson,SE,D,20,2021,Linkoping HC ,Sweden,629,30,108,138,55,179,6′ 2,196,Sweden Jr.,30,7,6,13,0.43,26,13,,,,,,,
195,Colorado Avalanche,Johan Alcen,SE,RW,19,,Brynas IF ,Sweden,,,,,,,6′ 1,189,Sweden Jr.,39,16,19,35,0.9,48,0,,,,,,,
196,New York Islanders,Simon Lacroix,CA,D,18,,Shawinigan Cataractes ,QMJHL,,,,,,,6′ 2,172,CCHL,47,5,10,15,0.32,59,0,,,,,,,
197,Tampa Bay Lightning,Michael Ward,CA,D,18,,Lewiston MAINEiacs ,QMJHL,,,,,,,6′ 2,180,N/A,0,0,0,0,0,0,0,,,,,,,
198,New York Rangers,Danny Hobbs,CA,C/RW,18,,Ohio Junior Blue Jackets ,USHL,,,,,,,5′ 11,192,CAHS,46,52,38,90,1.96,15,0,,,,,,,
199,Washington Capitals,Andrew Glass,US,LW,18,,Noble & Greenough School ,High-MA,,,,,,,5′ 11,180,High-MA,29,15,24,39,1.34,0,0,,,,,,,
200,Minnesota Wild,Carson McMillan,CA,RW,19,2014,Calgary Hitmen ,WHL,16,2,3,5,2,11,6′ 1,200,WHL,59,3,2,5,0.08,42,3,,,,,,,
201,San Jose Sharks,Justin Braun,US,D,20,2023,Massachusetts ,H-East,810,34,163,197,24,313,6′ 1,205,USHL,59,2,11,13,0.22,69,5,39,4,10,14,0.36,20,4
203,San Jose Sharks,Frazer McLaren,CA,LW,19,2014,Portland Winter Hawks ,WHL,102,4,7,11,3,264,6′ 5,250,WHL,70,12,6,18,0.26,194,24,,,,,,,
205,Atlanta Thrashers,Paul Postma,CA,D,18,2018,Swift Current Broncos ,WHL,205,10,25,35,-5,51,6′ 3,195,WHL,58,2,9,11,0.19,6,11,,,,,,,
206,Vancouver Canucks,Dan Gendur,CA,RW,20,,Everett Silvertips ,WHL,,,,,,,5′ 11,195,WHL,19,2,1,3,0.16,24,11,,,,,,,
207,New Jersey Devils,Ryan Molle,CA,D,18,,Swift Current Broncos ,WHL,,,,,,,6′ 3,190,WHL,2,0,0,0,0,0,0,,,,,,,
208,Detroit Red Wings,Bryan Rufenach,CA,D,18,,Lindsay ,OPJHL,,,,,,,5′ 11,184,OPJHL,48,11,15,26,0.54,50,0,,,,,,,
209,Buffalo Sabres,Drew Mackenzie,US,D,18,,Taft School ,High-CT,,,,,,,6′ 2,200,High-CT,26,0,10,10,0.38,0,0,,,,,,,
210,Tampa Bay Lightning,Justin Courtnall,CA,LW,18,,Burnaby ,BCHL,,,,,,,6′ 3,185,VIJHL,33,17,17,34,1.03,51,0,58,5,9,14,0.24,83,-
211,Columbus Blue Jackets,Trent Vogelhuber,US,RW,19,,St. Louis Bandits ,NAHL,,,,,,,6′ 2,185,N/A,0,0,0,0,0,0,0,,,,,,,
