,Round 1,,,,,,,,NHL Scoring Stats,,,,,,,,,,,,,,,,NHL Goalie Stats,,,,,,
Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-
11,Philadelphia Flyers,Samuel Morin,CA,D,18,2021,Rimouski Oceanic ,QMJHL,29,1,0,1,-10,45,6’6,202,QMJHL,62,0,8,8,0.13,57,2,46,4,12,16,0.35,117,10
12,Phoenix Coyotes,Max Domi,CA,C/LW,18,2023,London Knights ,OHL,520,106,222,328,-9,459,5’9,197,OHL,62,21,28,49,0.79,48,13,64,39,48,87,1.36,71,33
13,Winnipeg Jets,Josh Morrissey,CA,D,18,2023,Prince Albert Raiders ,WHL,441,43,142,185,28,231,5’11,186,WHL,68,10,28,38,0.56,60,2,70,15,32,47,0.67,91,14
14,Columbus Blue Jackets,Alexander Wennberg,SE,C,18,2023,Djurgardens IF ,Sweden-2,570,71,204,275,-15,127,6’1,190,Sweden Jr.,42,1,18,19,0.45,6,7,46,14,18,32,0.7,14,10
15,New York Islanders,Ryan Pulock,CA,D,18,2023,Brandon Wheat Kings ,WHL,367,39,114,153,49,67,6’0,211,WHL,71,19,41,60,0.85,20,33,61,14,31,45,0.74,22,7
16,Buffalo Sabres,Nikita Zadorov,RU,D,18,2023,London Knights ,OHL,504,31,80,111,12,521,6’5,221,Russia-3,41,2,4,6,0.15,63,20,63,6,19,25,0.4,54,33
17,Ottawa Senators,Curtis Lazar,CA,C/RW,18,2023,Edmonton Oil Kings ,WHL,414,36,56,92,-25,92,5’11,190,WHL,63,20,11,31,0.49,56,15,72,38,23,61,0.85,47,25
18,San Jose Sharks,Mirco Mueller,CH,D,18,2020,Everett Silvertips ,WHL,185,5,23,28,-25,61,6’3,184,U20-Elit,26,3,3,6,0.23,8,0,63,6,25,31,0.49,57,10
19,Columbus Blue Jackets,Kerby Rychel,US,LW,18,2019,Windsor Spitfires ,OHL,43,3,11,14,5,19,6’0,205,OHL,68,41,33,74,1.09,54,3,68,40,47,87,1.28,94,21
20,Detroit Red Wings,Anthony Mantha,CA,RW,18,2023,Val-d'Or Foreurs ,QMJHL,374,113,122,235,-29,220,6’3,190,QMJHL,63,22,29,51,0.81,39,11,67,50,39,89,1.33,71,21
21,Toronto Maple Leafs,Frederik Gauthier,CA,C,18,2022,Rimouski Oceanic ,QMJHL,178,13,18,31,-9,47,6’4,214,QMAAA,39,26,25,51,1.31,28,0,62,22,38,60,0.97,26,22
22,Calgary Flames,Emile Poirier,CA,LW,18,2016,Gatineau Olympiques ,QMJHL,8,0,1,1,0,2,6’0,183,QMJHL,67,15,25,40,0.6,53,17,65,32,38,70,1.08,101,0
23,Washington Capitals,Andre Burakovsky,AT,LW,18,2023,Malmo ,Sweden-2,538,128,185,313,56,135,6’1,178,Sweden Jr.,42,17,25,42,1,43,3,43,4,7,11,0.26,8,2
24,Vancouver Canucks,Hunter Shinkaruk,CA,C/LW,18,2017,Medicine Hat Tigers ,WHL,15,2,2,4,-7,4,5’10,181,WHL,66,49,42,91,1.38,38,17,64,37,49,86,1.34,44,13
25,Montreal Canadiens,Michael McCarron,US,RW,18,2023,USA U-18 Development Team ,USDP/USHL,139,10,14,24,-6,206,6’5,228,USDP/NAHL,53,6,21,27,0.51,128,0,59,16,21,37,0.63,182,0
26,Anaheim Ducks,Shea Theodore,CA,D,18,2023,Seattle Thunderbirds ,WHL,416,61,176,237,61,129,6’1,178,WHL,69,4,31,35,0.51,30,36,71,19,31,50,0.7,32,24
27,Columbus Blue Jackets,Marko Daňo,AT,C,18,2020,HC Slovan Bratislava ,KHL,141,19,26,45,1,49,5’11,183,Slovakia,32,4,6,10,0.31,6,,37,3,4,7,0.19,26,4
28,Calgary Flames,Morgan Klimchuk,CA,LW,18,2018,Regina Pats ,WHL,1,0,0,0,0,0,5’11,180,WHL,67,18,18,36,0.54,27,3,72,36,40,76,1.06,20,1
29,Dallas Stars,Jason Dickinson,CA,C,18,2023,Guelph Storm ,OHL,298,34,48,82,4,89,6’1,179,OHL,63,13,22,35,0.56,24,15,66,18,29,47,0.71,31,19
30,Chicago Blackhawks,Ryan Hartman,US,RW,18,2023,Plymouth Whalers ,OHL,456,93,108,201,48,431,5’11,181,USDP/NAHL,59,16,25,41,0.69,136,0,56,23,37,60,1.07,120,29
31,Florida Panthers,Ian McCoshen,US,D,18,2019,Waterloo Black Hawks ,USHL,60,4,3,7,-12,33,6′ 2″,205,USHL,55,8,12,20,0.36,43,4,53,11,33,44,0.83,48,35
32,Colorado Avalanche,Chris Bigras,CA,D,18,2018,Owen Sound Attack ,OHL,46,1,3,4,-4,18,6′ 0″,186,OHL,49,3,16,19,0.39,33,7,68,8,30,38,0.56,34,35
33,Tampa Bay Lightning,Adam Erne,US,LW,18,2023,Quebec Remparts ,QMJHL,313,34,46,80,-51,154,6′ 0″,210,QMJHL,64,28,27,55,0.86,32,6,68,28,44,72,1.06,67,11
34,Montreal Canadiens,Jacob de La Rose,SE,LW,18,2021,Leksands IF ,Sweden-2,242,13,25,38,-29,84,6′ 2″,190,Sweden Jr.,28,4,9,13,0.46,24,6,38,6,6,12,0.32,31,8
35,Buffalo Sabres,J.T. Compher,US,LW,18,2023,USA U-18 Development Team ,USDP/USHL,359,72,78,150,-12,123,5′ 10″,184,USDP/NAHL,58,23,32,55,0.95,57,0,52,18,32,50,0.96,51,0
37,Los Angeles Kings,Valentin Zykov,RU,LW,18,2020,Baie-Comeau Drakkar ,QMJHL,55,7,10,17,-2,10,6′ 0″,209,Russia-3,52,5,6,11,0.21,105,4,67,40,35,75,1.12,60,29
38,Buffalo Sabres,Connor Hurley,US,C,18,,Edina HS ,High-MN,,,,,,,6′ 1″,174,USHS-MN,25,22,26,48,1.92,10,0,25,15,28,43,1.72,8,0
39,Phoenix Coyotes,Laurent Dauphin,CA,C,18,2023,Chicoutimi Sagueneens ,QMJHL,74,7,9,16,-14,43,6′ 0″,165,USHS-Prep,40,17,45,62,1.55,48,0,62,25,32,57,0.92,50,0
40,Dallas Stars,Remi Elie,CA,LW,18,2022,London Knights ,OHL,107,7,15,22,5,28,6′ 0″,203,CCHL,59,21,25,46,0.78,39,0,65,7,10,17,0.26,34,7
41,Philadelphia Flyers,Robert Hagg,SE,D,18,2023,MODO Hockey Jr. ,Sweden Jr.,312,14,44,58,-2,186,6′ 2″,204,Sweden Jr.,44,4,13,17,0.39,46,9,28,11,13,24,0.86,24,8
42,New Jersey Devils,Steven Santini,US,D,18,2021,USA U-18 Development Team ,USDP/USHL,119,5,17,22,-8,55,6′ 1″,207,USDP/NAHL,55,2,8,10,0.18,69,0,66,0,15,15,0.23,44,0
43,Winnipeg Jets,Nic Petan,CA,C,18,2023,Portland Winterhawks ,WHL,156,6,25,31,-23,42,5′ 8″,165,WHL,61,14,21,35,0.57,22,7,71,46,74,120,1.69,43,68
45,Anaheim Ducks,Nick Sorensen,DK,RW,18,2017,Quebec Remparts ,QMJHL,5,0,1,1,-1,2,6′ 0″,174,QMJHL,8,5,4,9,1.13,2,9,46,20,27,47,1.02,18,10
46,Minnesota Wild,Gustav Olofsson,SE,D,18,2023,Green Bay Gamblers ,USHL,60,0,11,11,-4,18,6′ 3″,197,T1EHL 18U,38,5,25,30,0.79,10,0,63,2,21,23,0.37,59,11
47,St. Louis Blues,Thomas Vannelli,US,D,18,,Minnetonka HS ,High-MN,,,,,,,6′ 2″,165,USHS-MN,28,7,18,25,0.89,8,0,27,10,25,35,1.3,14,0
48,Detroit Red Wings,Zach Nastasiuk,CA,RW,18,,Owen Sound Attack ,OHL,,,,,,,6′ 1″,190,OHL,68,11,8,19,0.28,15,10,62,20,20,40,0.65,32,21
49,San Jose Sharks,Gabryel Boudreau,CA,LW,18,,Baie-Comeau Drakkar ,QMJHL,,,,,,,5′ 11″,167,QMAAA,43,33,25,58,1.35,38,0,67,22,41,63,0.94,43,31
50,Columbus Blue Jackets,Dillon Heatherington,CA,D,18,2022,Swift Current Broncos ,WHL,20,0,2,2,6,33,6′ 3″,196,WHL,57,2,8,10,0.18,63,2,71,4,23,27,0.38,80,25
51,Chicago Blackhawks,Carl Dahlstrom,SE,D,18,2022,Linkoping HC Jr. ,Sweden Jr.,67,0,12,12,5,14,6′ 3″,211,J18-Elit,20,1,7,8,0.4,2,22,37,5,8,13,0.35,12,18
52,Buffalo Sabres,Justin Bailey,US,RW,18,2022,Kitchener Rangers ,OHL,82,5,4,9,-11,18,6′ 3″,186,AYHL 16U,22,21,13,34,1.55,52,0,57,17,19,36,0.63,34,22
53,Washington Capitals,Madison Bowey,CA,D,18,2022,Kelowna Rockets ,WHL,158,5,35,40,-22,104,6′ 0″,195,WHL,57,8,13,21,0.37,39,3,69,12,18,30,0.43,75,41
55,Montreal Canadiens,Artturi Lehkonen,FI,LW,18,2023,KalPa ,Finland,430,86,88,174,1,122,5′ 11″,163,Finland Jr.,40,28,26,54,1.35,54,22,45,14,16,30,0.67,12,12
56,Edmonton Oilers,Marc-Olivier Roy,CA,C,18,,Blainville-Boisbriand Armada ,QMJHL,,,,,,,6′ 0″,175,QMJHL,63,17,22,39,0.62,29,26,65,29,38,67,1.03,68,12
