,Round 1,,,,,,,,NHL Scoring Stats,,,,,,,,,,,,,,,,NHL Goalie Stats,,,,,,
Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-
145,Vancouver Canucks,Anton Cederholm,SE,D,18,,Rogle BK Jr. ,Sweden Jr.,,,,,,,6′ 1″,204,Sweden Jr.,41,3,5,8,0.2,71,10,36,5,8,13,0.36,64,27
147,Anaheim Ducks,Grant Besse,US,RW,19,,Benilde-St. Margaret's School ,High-MN,,,,,,,5′ 9″,177,USHS-MN,25,40,35,75,3,20,0,25,44,25,69,2.76,16,0
148,Los Angeles Kings,Jonny Brodzinski,US,C,20,2022,St. Cloud State ,WCHA,84,8,7,15,7,24,6′ 0″,202,USHL,58,10,12,22,0.38,18,5,42,22,11,33,0.79,10,28
149,Dallas Stars,Matej Paulovic,SK,LW,18,,Farjestad BK Jr. ,Sweden Jr.,,,,,,,6′ 3″,187,Sweden Jr.,12,2,1,3,0.25,6,2,34,5,12,17,0.5,6,8
150,Boston Bruins,Wiley Sherman,US,D,18,,Hotchkiss School ,High-CT,,,,,,,6′ 5″,206,USHS-Prep,24,2,5,7,0.29,0,0,26,4,6,10,0.38,32,0
151,San Jose Sharks,Gage Ausmus,US,D,18,,USA U-18 Development Team ,USDP/USHL,,,,,,,6′ 0″,211,USDP/NAHL,54,2,4,6,0.11,60,0,66,2,12,14,0.21,54,0
152,Florida Panthers,Joshua Brown,CA,D,19,2023,Oshawa Generals ,OHL,188,6,14,20,-12,150,6′ 5″,213,OHL,46,0,4,4,0.09,49,9,68,0,16,16,0.24,79,17
153,Colorado Avalanche,Ben Storm,US,D,19,,Muskegon Lumberjacks ,USHL,,,,,,,6′ 6″,216,USHS-MI,26,15,20,35,1.35,24,0,52,2,10,12,0.23,82,8
154,Tampa Bay Lightning,Henri Ikonen,FI,LW,19,,Kingston Frontenacs ,OHL,,,,,,,5′ 11″,184,Finland Jr.,37,17,28,45,1.22,18,12,61,22,29,51,0.84,30,2
155,Nashville Predators,Emil Pettersson,SE,C,19,,Timra IK Jr. ,Sweden Jr.,,,,,,,6′ 1″,158,Sweden Jr.,17,4,2,6,0.35,10,1,44,13,31,44,1,38,4
156,Carolina Hurricanes,Tyler Ganly,CA,D,18,,Soo Greyhounds ,OHL,,,,,,,6′ 1″,201,GTHL U18,39,9,15,24,0.62,60,0,62,0,17,17,0.27,64,2
157,Calgary Flames,Tim Harrison,US,RW,19,,Dexter Southfield School ,High-MA,,,,,,,6′ 3″,175,USHS-Prep,21,13,13,26,1.24,0,0,28,21,22,43,1.54,0,0
158,Edmonton Oilers,Ben Betker,CA,D,18,,Everett Silvertips ,WHL,,,,,,,6′ 5″,200,BCHL,59,5,13,18,0.31,52,0,68,1,5,6,0.09,100,21
159,Buffalo Sabres,Sean Malone,US,C,18,2021,USA U-18 Development Team ,USDP/USHL,2,0,1,1,-1,2,5′ 11″,183,USHS-Prep,32,34,36,70,2.19,0,0,50,16,17,33,0.66,19,0
160,New Jersey Devils,Myles Bell,CA,RW,20,,Kelowna Rockets ,WHL,,,,,,,5′ 11″,212,WHL,54,15,26,41,0.76,55,18,69,38,55,93,1.35,68,46
161,Ottawa Senators,Chris Leblanc,US,RW,20,,South Shore ,EJHL,,,,,,,6′ 3″,195,USHS-MA,0,0,0,0,0,0,0,44,13,20,33,0.75,38,0
164,Pittsburgh Penguins,Dane Birks,CA,D,18,,Merritt ,BCHL,,,,,,,6′ 3″,190,BCHL,10,0,0,0,0,12,0,52,5,15,20,0.38,28,0
165,Columbus Blue Jackets,Markus Soberg,NO,RW,18,,Frolunda HC Jr. ,Sweden Jr.,,,,,,,6′ 0″,187,Sweden Jr.,25,5,5,10,0.4,14,3,36,10,16,26,0.72,20,29
166,New York Islanders,Alan Quine,CA,C,20,2020,Belleville Bulls ,OHL,106,10,18,28,-5,22,5′ 11″,188,OHL,65,30,40,70,1.08,21,19,54,23,44,67,1.24,20,15
167,Minnesota Wild,Avery Peterson,US,C,18,,Grand Rapids HS ,High-MN,,,,,,,6′ 3″,208,USHS-MN,25,14,32,46,1.84,46,0,23,23,31,54,2.35,2,0
168,Ottawa Senators,Quentin Shore,US,C,19,,Denver ,WCHA,,,,,,,6′ 1″,189,USDP/NAHL,60,17,10,27,0.45,31,0,39,10,9,19,0.49,22,2
169,Detroit Red Wings,Marc McNulty,CA,D,18,,Prince George Cougars ,WHL,,,,,,,6′ 5″,185,WHL,21,0,0,0,0,8,6,52,8,7,15,0.29,70,18
171,Nashville Predators,Tommy Veilleux,CA,LW,18,,Victoriaville Tigres ,QMJHL,,,,,,,6′ 0″,188,QMJHL,38,1,4,5,0.13,71,2,66,11,17,28,0.42,129,6
173,St. Louis Blues,Santeri Saari,FI,D,18,,Jokerit Jr. ,Finland Jr.,,,,,,,6′ 2″,191,U18-SM Sarja,25,6,14,20,0.8,26,0,46,5,18,23,0.5,34,5
174,Washington Capitals,Brian Pinho,US,C,18,2021,St. John's Prep ,High-MA,2,0,0,0,-2,0,6′ 0″,173,USHS-Prep,24,20,37,57,2.38,0,0,21,12,24,36,1.71,24,0
175,Vancouver Canucks,Mike Williamson,CA,D,20,,Spruce Grove ,AJHL,,,,,,,6′ 2″,187,AJHL,41,9,9,18,0.44,73,0,23,1,10,11,0.48,35,0
176,Montreal Canadiens,Jeremy Gregoire,CA,C,18,,Baie-Comeau Drakkar ,QMJHL,,,,,,,5′ 11″,190,QMJHL,61,15,15,30,0.49,59,6,62,19,13,32,0.52,100,9
177,Anaheim Ducks,Miro Aaltonen,FI,C,20,,Blues ,Finland,,,,,,,5′ 10″,172,Finland Jr.,14,10,17,27,1.93,14,19,32,11,5,16,0.5,22,2
178,Los Angeles Kings,Zachary Leslie,CA,D,19,,Guelph Storm ,OHL,,,,,,,6′ 0″,175,OHL,65,2,15,17,0.26,54,3,68,12,28,40,0.59,58,16
179,Pittsburgh Penguins,Blaine Byron,CA,C,18,,Smiths Falls ,CCHL,,,,,,,5′ 11″,163,CCHL,42,12,27,39,0.93,20,0,51,12,40,52,1.02,24,0
180,Boston Bruins,Anton Blidh,SE,LW,18,2023,Frolunda HC Jr. ,Sweden Jr.,74,4,8,12,-11,39,5′ 11″,184,J18-Elit,20,5,12,17,0.85,16,6,43,17,10,27,0.63,80,13
181,Chicago Blackhawks,Anthony Louis,US,C,18,,USA U-18 Development Team ,USDP/USHL,,,,,,,5′ 6″,145,USDP/NAHL,56,27,15,42,0.75,18,0,62,22,29,51,0.82,20,0
182,Dallas Stars,Aleksi Makela,FI,D,18,,Ilves Jr. ,Finland Jr.,,,,,,,6′ 1″,195,U18-SM Sarja,26,3,8,11,0.42,6,0,37,8,9,17,0.46,42,3
183,Colorado Avalanche,Wilhelm Westlund,SE,D,18,,Farjestad BK Jr. ,Sweden Jr.,,,,,,,5′ 11″,184,Sweden Jr.,33,3,4,7,0.21,12,3,33,3,12,15,0.45,76,10
184,Tampa Bay Lightning,Saku Salminen,FI,C,18,,Kiekko-Vantaa ,Finland-2,,,,,,,6′ 3″,198,Finland Jr.,44,9,17,26,0.59,16,11,12,1,4,5,0.42,0,1
185,Nashville Predators,Wade Murphy,CA,RW,19,,Pentiction ,BCHL,,,,,,,5′ 11″,176,BCHL,60,36,55,91,1.52,66,0,50,23,47,70,1.4,50,0
186,Tampa Bay Lightning,Joel Vermin,CH,RW,21,2017,SC Bern ,Swiss,24,0,4,4,3,4,5′ 11″,192,NLA,33,11,9,20,0.61,0,9,33,11,9,20,0.61,0,9
187,Calgary Flames,Rushan Rafikov,RU,D,18,,Loko Yaroslavl ,Russia Jr.,,,,,,,6′ 2″,181,Russia-3,26,4,2,6,0.23,14,5,53,1,9,10,0.19,38,11
188,Edmonton Oilers,Gregory Chase,CA,C/RW,18,,Calgary Hitmen ,WHL,,,,,,,6′ 0″,195,WHL,60,6,22,28,0.47,41,2,69,17,32,49,0.71,58,11
189,Buffalo Sabres,Eric Locke,US,C,19,,Saginaw Spirit ,OHL,,,,,,,5′ 10″,184,OHL,52,20,20,40,0.77,34,2,68,44,53,97,1.43,84,37
190,Winnipeg Jets,Brenden Kichton,CA,D,21,,Spokane Chiefs ,WHL,,,,,,,5′ 10″,175,WHL,71,17,57,74,1.04,49,24,71,22,63,85,1.2,30,39
191,Los Angeles Kings,Dominik Kubalik,CZ,LW,18,2023,Sudbury Wolves ,OHL,221,71,66,137,-12,52,6′ 2″,179,Czech U20,24,11,6,17,0.71,22,9,67,17,17,34,0.51,25,3
192,Philadelphia Flyers,David Drake,US,D,18,,Des Moines Buccaneers ,USHL,,,,,,,6′ 3″,155,NAPHL 16U,18,1,4,5,0.28,22,0,12,1,0,1,0.08,6,13
193,Phoenix Coyotes,Jedd Soleway,CA,C,19,,Pentiction ,BCHL,,,,,,,6′ 2″,208,BCHL,58,13,12,25,0.43,50,0,48,19,27,46,0.96,62,0
194,Winnipeg Jets,Marcus Karlstrom,SE,D,18,,AIK Jr. ,Sweden Jr.,,,,,,,6′ 2″,181,J18-Elit,20,1,6,7,0.35,16,25,5,1,0,1,0.2,0,4
195,Columbus Blue Jackets,Peter Quenneville,CA,C/RW,19,,Dubuque Fighting Saints ,USHL,,,,,,,5′ 11″,183,AJHL,53,31,50,81,1.53,22,0,63,33,37,70,1.11,18,29
196,New York Islanders,Kyle Burroughs,CA,D,18,2023,Regina Pats ,WHL,58,2,5,7,-7,61,5′ 11″,182,WHL,55,2,6,8,0.15,54,7,70,5,28,33,0.47,91,8
197,Minnesota Wild,Nolan De Jong,CA,D,18,,Victoria ,BCHL,,,,,,,6′ 2″,199,BCHL,56,2,15,17,0.3,20,0,51,5,19,24,0.47,16,0
198,Calgary Flames,John Gilmour,CA,D,20,2020,Providence ,H-East,37,2,3,5,-16,18,5′ 11″,173,USHL,58,10,14,24,0.41,14,0,38,4,9,13,0.34,35,3
199,Detroit Red Wings,Hampus Melen,SE,RW,18,,Tingsryds AIF Jr. ,Sweden Jr.,,,,,,,6′ 2″,165,J18-Elit,26,9,22,31,1.19,16,7,5,0,0,0,0,2,3
201,San Jose Sharks,Jacob Jackson,US,C,18,,Tartan HS ,High-MN,,,,,,,5′ 11″,182,USHS-MN,25,24,19,43,1.72,28,0,25,29,27,56,2.24,10,0
202,Toronto Maple Leafs,Andreas Johnson,SE,LW,18,2022,Frolunda HC Jr. ,Sweden Jr.,246,48,65,113,15,88,5′ 10″,183,Sweden Jr.,42,19,13,32,0.76,75,17,42,23,31,54,1.29,54,29
204,Washington Capitals,Tyler Lewington,CA,D,18,2022,Medicine Hat Tigers ,WHL,12,1,2,3,4,40,6′ 1″,189,WHL,44,0,3,3,0.07,46,7,69,2,24,26,0.38,131,14
205,Vancouver Canucks,Miles Liberati,US,D,18,,London Knights ,OHL,,,,,,,5′ 11″,195,CAHS,0,0,0,0,0,0,0,42,3,6,9,0.21,25,5
206,Florida Panthers,MacKenzie Weegar,CA,D,19,2023,Halifax Mooseheads ,QMJHL,325,27,99,126,80,273,5′ 11″,183,CCHL,53,13,37,50,0.94,61,0,62,8,36,44,0.71,58,55
207,San Jose Sharks,Emil Galimov,RU,LW,21,,Lokomotiv Yaroslavl ,Russia,,,,,,,6′ 1″,169,Russia-3,17,9,9,18,1.06,35,7,33,7,13,20,0.61,10,8
209,Pittsburgh Penguins,Troy Josephs,CA,C,19,,St. Michael's ,OJHL,,,,,,,5′ 11″,176,OPJHL,41,11,13,24,0.59,10,0,42,17,20,37,0.88,64,0
210,Boston Bruins,Mitchell Dempsey,CA,LW,18,,Soo Greyhounds ,OHL,,,,,,,6′ 2″,204,OHL,34,1,4,5,0.15,29,8,36,1,4,5,0.14,17,0
211,Chicago Blackhawks,Robin Press,SE,D,18,,Sodertalje SK ,Sweden-2,,,,,,,6′ 2″,187,J18-Elit,16,4,10,14,0.88,34,2,41,2,2,4,0.1,10,2
