,Round 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-
132,Nashville Predators,Gabriel Bourque,CA,LW,18,2020,Baie-Comeau Drakkar ,QMJHL,413,40,63,103,-18,75,5′ 9,183,QMJHL,65,10,18,28,0.43,38,15,60,22,39,61,1.02,82,4
134,Buffalo Sabres,Mark Adams,US,D,18,,Malden Catholic HS ,High-MA,,,,,,,6′ 1,187,USHS-Prep,23,4,13,17,0.74,0,0,23,6,23,29,1.26,0,0
135,Florida Panthers,Corban Knight,CA,C,19,2019,Okotoks ,AJHL,52,4,8,12,-3,4,6′ 1,180,AMHL,36,29,36,65,1.81,64,0,61,34,38,72,1.18,55,0
136,Anaheim Ducks,Radoslav Illo,SK,C,19,,Tri-City Storm ,USHL,,,,,,,6′ 0,161,CHA Jr. B,36,48,38,86,2.39,0,0,47,21,12,33,0.7,37,23
137,Columbus Blue Jackets,Thomas Larkin,GB,D,18,,Phillps-Exeter Academy ,High-NH,,,,,,,6′ 5,206,USHS-Prep,29,6,15,21,0.72,18,0,35,14,38,52,1.49,30,0
138,Florida Panthers,Wade Megan,US,C,19,2019,South Kent Prep ,High-CT,15,1,1,2,-3,2,6′ 1,185,USHS-Prep,36,24,27,51,1.42,0,0,32,27,36,63,1.97,18,0
139,Montreal Canadiens,Gabriel Dumont,CA,C,18,2020,Drummondville Voltigeurs ,QMJHL,90,4,5,9,0,48,5′ 9,170,QMJHL,59,11,14,25,0.42,103,29,51,28,21,49,0.96,63,28
141,Calgary Flames,Spencer Bennett,CA,LW,18,,Surrey ,BCHL,,,,,,,6′ 3,185,BCHL,58,6,11,17,0.29,41,0,60,20,21,41,0.68,32,0
143,Vancouver Canucks,Peter Andersson,SE,D,18,,Frolunda HC Jr. ,Sweden Jr.,,,,,,,6′ 5,210,Sweden Jr.,8,0,2,2,0.25,4,6,36,3,5,8,0.22,42,2
144,New Jersey Devils,Derek Rodwell,CA,LW,19,,Okotoks ,AJHL,,,,,,,6′ 1,190,AJHL,62,9,10,19,0.31,39,0,41,17,12,29,0.71,69,0
